cost_x	cost_y	X0	Y0	Rel_dens
0.001	0.001	0.0	0.0	-1.0e6
0.001	0.001	0.0	0.1	-3.559004073472552e7
0.001	0.001	0.0	0.2	-1.382680847888049e8
0.001	0.001	0.0	0.3	-3.075160456738308e8
0.001	0.001	0.0	0.4	-5.41949619593651e8
0.001	0.001	0.0	0.5	-8.404540576696464e8
0.001	0.001	0.0	0.6	-1.2019692270141802e9
0.001	0.001	0.0	0.7	-1.6253638109294763e9
0.001	0.001	0.0	0.8	-2.1106182566521e9
0.001	0.001	0.0	0.9	-2.656090578860216e9
0.001	0.001	0.0	1.0	-3.2626635397649612e9
0.001	0.001	0.1	0.0	-3.5590045501611985e7
0.001	0.001	0.1	0.1	5.333877342907965e6
0.001	0.001	0.1	0.2	-1.705867340032196e7
0.001	0.001	0.1	0.3	-2.5706717044821143e7
0.001	0.001	0.1	0.4	-2.8551046053660154e7
0.001	0.001	0.1	0.5	-2.98437434086138e7
0.001	0.001	0.1	0.6	-3.0494907795838594e7
0.001	0.001	0.1	0.7	-3.0578949228366613e7
0.001	0.001	0.1	0.8	-3.110203702459979e7
0.001	0.001	0.1	0.9	-3.1037121698687077e7
0.001	0.001	0.1	1.0	-3.1088425662961006e7
0.001	0.001	0.2	0.0	-1.3826880966317937e8
0.001	0.001	0.2	0.1	-1.5507545816044927e7
0.001	0.001	0.2	0.2	5.3553292399085045e7
0.001	0.001	0.2	0.3	-2.886474883887875e7
0.001	0.001	0.2	0.4	-8.344602664815378e7
0.001	0.001	0.2	0.5	-1.0389079229881084e8
0.001	0.001	0.2	0.6	-1.1309600311110187e8
0.001	0.001	0.2	0.7	-1.1777913828637934e8
0.001	0.001	0.2	0.8	-1.2115996120866394e8
0.001	0.001	0.2	0.9	-1.2220879972472143e8
0.001	0.001	0.2	1.0	-1.2415390081467867e8
0.001	0.001	0.3	0.0	-3.075090053000691e8
0.001	0.001	0.3	0.1	-2.432666525309676e7
0.001	0.001	0.3	0.2	-1.5931109524828434e7
0.001	0.001	0.3	0.3	1.984097705285685e8
0.001	0.001	0.3	0.4	3.456810250704765e7
0.001	0.001	0.3	0.5	-1.3023859152672982e8
0.001	0.001	0.3	0.6	-1.994421521720059e8
0.001	0.001	0.3	0.7	-2.3251256359922266e8
0.001	0.001	0.3	0.8	-2.5069339564906073e8
0.001	0.001	0.3	0.9	-2.6106001846159363e8
0.001	0.001	0.3	1.0	-2.69060422528533e8
0.001	0.001	0.4	0.0	-5.41980878975887e8
0.001	0.001	0.4	0.1	-2.7129421696696043e7
0.001	0.001	0.4	0.2	-7.352694112566566e7
0.001	0.001	0.4	0.3	8.2914914418733e7
0.001	0.001	0.4	0.4	5.138524331499367e8
0.001	0.001	0.4	0.5	2.4593056025784373e8
0.001	0.001	0.4	0.6	-1.0636039215107417e8
0.001	0.001	0.4	0.7	-2.803429401674638e8
0.001	0.001	0.4	0.8	-3.648911398052535e8
0.001	0.001	0.4	0.9	-4.119187367313309e8
0.001	0.001	0.4	1.0	-4.407344995076904e8
0.001	0.001	0.5	0.0	-8.40440067762534e8
0.001	0.001	0.5	0.1	-2.8275184515618443e7
0.001	0.001	0.5	0.2	-9.556487964943123e7
0.001	0.001	0.5	0.3	-9.063667336572123e7
0.001	0.001	0.5	0.4	3.7068248474115086e8
0.001	0.001	0.5	0.5	1.0980920265766332e9
0.001	0.001	0.5	0.6	6.825616779378519e8
0.001	0.001	0.5	0.7	4.535856453057337e7
0.001	0.001	0.5	0.8	-3.047103414043975e8
0.001	0.001	0.5	0.9	-4.8327480938298464e8
0.001	0.001	0.5	1.0	-5.810055688137832e8
0.001	0.001	0.6	0.0	-82512.06035089493
0.001	0.001	0.6	0.1	-2.876758382029581e7
0.001	0.001	0.6	0.2	-1.0605499540158796e8
