X0	Y0	Rel_dens
0.0	0.0	-1.0e6
0.0	0.1	-3.556791145797242e7
0.0	0.2	-1.3811388432003137e8
0.0	0.3	-3.0608874724453694e8
0.0	0.4	-5.41761826323334e8
0.0	0.5	-8.397688214146936e8
0.0	0.6	-1.1883153816920757e9
0.0	0.7	-1.6214573661348815e9
0.0	0.8	-2.0987437332967088e9
0.0	0.9	-2.6559612883822265e9
0.0	1.0	-3.262389415635992e9
0.0	1.1	-3.9152103082956643e9
0.0	1.2	-4.653935867689712e9
0.0	1.3	-5.431714033041495e9
0.0	1.4	-6.276769242807579e9
0.0	1.5	-6.951131096092964e9
0.0	1.6	-7.423649403011345e9
0.0	1.7	-7.808051807260363e9
0.0	1.8	-8.13456487120718e9
0.0	1.9	-8.418737624048293e9
0.0	2.0	-8.670126919455254e9
0.0	2.1	-8.895189930055536e9
0.0	2.2	-9.098560771970024e9
0.0	2.3	-9.283708743674545e9
0.0	2.4	-9.453314132157597e9
0.0	2.5	-9.60949923078128e9
0.0	2.6	-9.753977657799715e9
0.0	2.7	-9.888155847771631e9
0.0	2.8	-1.0013203748827114e10
0.0	2.9	-1.0130106062527805e10
0.0	3.0	-1.023969984210357e10
0.0	3.1	-1.034270292641288e10
0.0	3.2	-1.0439735701254114e10
0.0	3.3	-1.0531338047368856e10
0.0	3.4	-1.0617982646808798e10
0.0	3.5	-1.0700085724773304e10
0.0	3.6	-1.077801561259478e10
0.0	3.7	-1.0852099783938444e10
0.0	3.8	-1.0922630626179012e10
0.0	3.9	-1.0989870217884722e10
0.0	4.0	-1.10540543209651e10
0.0	4.1	-1.1115395741399828e10
0.0	4.2	-1.1174087148347446e10
0.0	4.3	-1.1230303516874338e10
0.0	4.4	-1.1284204153620834e10
0.0	4.5	-1.1335934494148827e10
0.0	4.6	-1.1385627628117062e10
0.0	4.7	-1.143340560745768e10
0.0	4.8	-1.1479380624910645e10
0.0	4.9	-1.152365600491719e10
0.0	5.0	-1.156632708673202e10
0.0	5.1	-1.1607482012842255e10
0.0	5.2	-1.1647202405342989e10
0.0	5.3	-1.1685563975800161e10
0.0	5.4	-1.1722637062835066e10
0.0	5.5	-1.1758487113951052e10
0.0	5.6	-1.1793175112143162e10
0.0	5.7	-1.1826757959050455e10
0.0	5.8	-1.1859288818414188e10
0.0	5.9	-1.1890817422428236e10
0.0	6.0	-1.1921390354016628e10
0.0	6.1	-1.1951051291445045e10
0.0	6.2	-1.1979841244154938e10
0.0	6.3	-1.200779874686278e10
0.0	6.4	-1.2034960054689947e10
0.0	6.5	-1.2061359309617363e10
0.0	6.6	-1.2087028694415392e10
0.0	6.7	-1.211199857490805e10
0.0	6.8	-1.213629762738202e10
0.0	6.9	-1.2159952955840723e10
0.0	7.0	-1.2182990202332977e10
0.0	7.1	-1.2205433642112238e10
0.0	7.2	-1.2227306279651876e10
0.0	7.3	-1.2248629926650858e10
0.0	7.4	-1.2269425283432856e10
0.0	7.5	-1.2289712008040783e10
0.0	7.6	-1.230950878085159e10
0.0	7.7	-1.2328833368858665e10
0.0	7.8	-1.2347702678054743e10
0.0	7.9	-1.236613280664627e10
0.0	8.0	-1.2384139094986126e10
0.0	8.1	-1.2401736167161465e10
0.0	8.2	-1.2418937975250265e10
0.0	8.3	-1.2435757837530588e10
0.0	8.4	-1.2452208472541855e10
0.0	8.5	-1.2468302035630882e10
0.0	8.6	-1.2484050148726702e10
0.0	8.7	-1.249946392853394e10
0.0	8.8	-1.2514554015854315e10
0.0	8.9	-1.252933060067432e10
0.0	9.0	-1.2543803444675295e10
0.0	9.1	-1.2557981904661448e10
0.0	9.2	-1.2571874954380285e10
0.0	9.3	-1.25854912028007e10
0.0	9.4	-1.259883891202636e10
0.0	9.5	-1.2611926017247774e10
0.0	9.6	-1.2624760141093044e10
0.0	9.7	-1.263734860837965e10
0.0	9.8	-1.2649698462262875e10
0.0	9.9	-1.266181647721376e10
0.0	10.0	-1.2673709171523472e10
0.1	0.0	-3.5582007465400875e7
0.1	0.1	-1.441005634718299e6
0.1	0.2	-2.1257191436291188e7
0.1	0.3	-2.7750992121290565e7
0.1	0.4	-3.4067420913017154e7
0.1	0.5	-3.171723022161591e7
0.1	0.6	-2.0905159539382458e7
0.1	0.7	-3.699237533680439e7
0.1	0.8	-2.8868248700116396e7
0.1	0.9	-7.476255828208017e7
0.1	1.0	-6.332063007045555e7
0.1	1.1	-7.619534945038176e7
0.1	1.2	-4.438481393870926e7
0.1	1.3	-4.4646236579894066e7
0.1	1.4	-3.588326183498287e7
0.1	1.5	-3.8309581412323e7
0.1	1.6	-3.96142637981863e7
0.1	1.7	-4.0289723546479225e7
0.1	1.8	-4.072885716053009e7
0.1	1.9	-4.099118492331028e7
0.1	2.0	-4.118273314350319e7
0.1	2.1	-4.129404398769188e7
0.1	2.2	-4.135037205255318e7
0.1	2.3	-4.142011037235451e7
0.1	2.4	-4.142629225136948e7
0.1	2.5	-4.145656719411087e7
0.1	2.6	-4.1435577634693146e7
0.1	2.7	-4.1444406398700714e7
0.1	2.8	-4.1407366641534805e7
0.1	2.9	-4.140453902242851e7
0.1	3.0	-4.1356686006505966e7
0.1	3.1	-4.1347954471710205e7
0.1	3.2	-4.129163332152176e7
0.1	3.3	-4.12806434521656e7
0.1	3.4	-4.125369066236496e7
0.1	3.5	-4.120603777471161e7
0.1	3.6	-4.11806721034832e7
0.1	3.7	-4.112611616189766e7
0.1	3.8	-4.1104116630578995e7
0.1	3.9	-4.1041907201517105e7
0.1	4.0	-4.102474585372162e7
0.1	4.1	-4.099511781854057e7
0.1	4.2	-4.094267531637192e7
0.1	4.3	-4.091974653904724e7
0.1	4.4	-4.085743702919769e7
0.1	4.5	-4.084194873884964e7
0.1	4.6	-4.08154573350811e7
0.1	4.7	-4.076055640187454e7
0.1	4.8	-4.074255421541023e7
0.1	4.9	-4.067393922249222e7
0.1	5.0	-4.0664800410692215e7
0.1	5.1	-4.064568838840103e7
0.1	5.2	-4.058035069597626e7
0.1	5.3	-4.0570763642017365e7
0.1	5.4	-4.055168842707062e7
0.1	5.5	-4.048731826469803e7
0.1	5.6	-4.0478322834070206e7
0.1	5.7	-4.0460312480989456e7
0.1	5.8	-4.039445363427925e7
0.1	5.9	-4.038703925556755e7
0.1	6.0	-4.037108063138199e7
0.1	6.1	-4.0300986339775085e7
0.1	6.2	-4.029613725897789e7
0.1	6.3	-4.028321368831825e7
0.1	6.4	-4.0262300579359055e7
0.1	6.5	-4.020485946157265e7
0.1	6.6	-4.019586153379822e7
0.1	6.7	-4.017933151998329e7
0.1	6.8	-4.0112150741514206e7
0.1	6.9	-4.010788842131615e7
0.1	7.0	-4.00965443091774e7
0.1	7.1	-4.007819713894844e7
0.1	7.2	-4.001792437171364e7
0.1	7.3	-4.001246726989937e7
0.1	7.4	-4.000041984231377e7
0.1	7.5	-3.998185129346657e7
0.1	7.6	-3.9925081183856964e7
0.1	7.7	-3.991994021996498e7
0.1	7.8	-3.9908654756578445e7
0.1	7.9	-3.9891288555547714e7
0.1	8.0	-3.983445398499298e7
0.1	8.1	-3.9830847356817245e7
0.1	8.2	-3.982149190522957e7
0.1	8.3	-3.9806443220321655e7
0.1	8.4	-3.974564177606392e7
0.1	8.5	-3.974456506371117e7
0.1	8.6	-3.973809752471924e7
0.1	8.7	-3.97262881362381e7
0.1	8.8	-3.965737347248268e7
0.1	8.9	-3.965963416537857e7
0.1	9.0	-3.9656831389139175e7
0.1	9.1	-3.964900492372322e7
0.1	9.2	-3.963620522267532e7
0.1	9.3	-3.95736331095314e7
0.1	9.4	-3.9575189423023224e7
0.1	9.5	-3.957202860043526e7
0.1	9.6	-3.956419044672394e7
0.1	9.7	-3.9551720679956436e7
0.1	9.8	-3.949047657468605e7
0.1	9.9	-3.9492487057863235e7
0.1	10.0	-3.9489792508420944e7
0.2	0.0	-1.3815010986947998e8
0.2	0.1	-2.1400747825949997e7
0.2	0.2	-3.740901111619711e6
0.2	0.3	-6.4596649824420035e7
0.2	0.4	-1.0278863734728146e8
0.2	0.5	-1.1177831484344137e8
0.2	0.6	-1.0806193367062306e8
0.2	0.7	-1.2799004759651828e8
0.2	0.8	-1.2223517919533014e8
0.2	0.9	-1.7040732204220676e8
0.2	1.0	-1.6001350663595152e8
0.2	1.1	-1.743569118345585e8
0.2	1.2	-1.4190587077272797e8
0.2	1.3	-1.4322104030747604e8
0.2	1.4	-1.3410579462113762e8
0.2	1.5	-1.4077272811059284e8
0.2	1.6	-1.4338950020076466e8
0.2	1.7	-1.450627601074791e8
0.2	1.8	-1.4555266540655327e8
0.2	1.9	-1.4632768484219646e8
0.2	2.0	-1.4676790580599785e8
0.2	2.1	-1.466718302029209e8
0.2	2.2	-1.46973176479908e8
0.2	2.3	-1.4709138752794647e8
0.2	2.4	-1.4687506321844482e8
0.2	2.5	-1.4701235967331123e8
0.2	2.6	-1.4657571391537094e8
0.2	2.7	-1.4677114432025337e8
0.2	2.8	-1.4684521286646652e8
0.2	2.9	-1.463852575908203e8
0.2	3.0	-1.4654815012193298e8
0.2	3.1	-1.4660265392276955e8
0.2	3.2	-1.461101911331253e8
0.2	3.3	-1.46269254009243e8
0.2	3.4	-1.4632888991471672e8
0.2	3.5	-1.4578056826286888e8
0.2	3.6	-1.4595468315515137e8
0.2	3.7	-1.4603690168727684e8
0.2	3.8	-1.460276215516529e8
0.2	3.9	-1.4560272128778458e8
0.2	4.0	-1.4572246900154114e8
0.2	4.1	-1.4575729386313248e8
0.2	4.2	-1.4520708375644684e8
0.2	4.3	-1.4537491809793472e8
0.2	4.4	-1.454637523863678e8
0.2	4.5	-1.4547371392539406e8
0.2	4.6	-1.449742995737934e8
0.2	4.7	-1.451244683000145e8
0.2	4.8	-1.4520107202427864e8
0.2	4.9	-1.452042696470909e8
0.2	5.0	-1.4471161033188438e8
0.2	5.1	-1.4485991875580597e8
0.2	5.2	-1.4493971500416374e8
0.2	5.3	-1.4495118191155052e8
0.2	5.4	-1.4441002279924393e8
0.2	5.5	-1.445715284586258e8
0.2	5.6	-1.4466950456238747e8
0.2	5.7	-1.4470410373814774e8
0.2	5.8	-1.4406275392664528e8
0.2	5.9	-1.4424912370360756e8
0.2	6.0	-1.4437672632666397e8
0.2	6.1	-1.444457229693489e8
0.2	6.2	-1.4445634066132545e8
0.2	6.3	-1.4387137949715042e8
0.2	6.4	-1.4403834292918587e8
0.2	6.5	-1.441512845525093e8
0.2	6.6	-1.4421037554712868e8
0.2	6.7	-1.4421587287666702e8
0.2	6.8	-1.4362541118175125e8
0.2	6.9	-1.4379001925231743e8
0.2	7.0	-1.439051298834839e8
0.2	7.1	-1.4397092721229935e8
0.2	7.2	-1.4398766490801048e8
0.2	7.3	-1.4331503692401695e8
0.2	7.4	-1.4349372380258942e8
0.2	7.5	-1.4362725124468803e8
0.2	7.6	-1.437157609251461e8
0.2	7.7	-1.4375943530090523e8
0.2	7.8	-1.4375855571355057e8
0.2	7.9	-1.431389643835373e8
0.2	8.0	-1.4330246334008026e8
0.2	8.1	-1.4342492026756287e8
0.2	8.2	-1.4350647836782646e8
0.2	8.3	-1.4354733088692856e8
0.2	8.4	-1.4354773762008286e8
0.2	8.5	-1.4289826625756454e8
0.2	8.6	-1.4306328163024712e8
0.2	8.7	-1.4319104375405884e8
0.2	8.8	-1.4328167494373894e8
0.2	8.9	-1.4333537298082352e8
0.2	9.0	-1.433523439045353e8
0.2	9.1	-1.4258590796585655e8
0.2	9.2	-1.4276579968528748e8
0.2	9.3	-1.4291194062987137e8
0.2	9.4	-1.4302444997794724e8
0.2	9.5	-1.4310347908363152e8
0.2	9.6	-1.4314920909843254e8
0.2	9.7	-1.4316186341143417e8
0.2	9.8	-1.4236596286349297e8
0.2	9.9	-1.4254280301446915e8
0.2	10.0	-1.4267696332606888e8
0.3	0.0	-3.075081042330792e8
0.3	0.1	-2.853225152929175e7
0.3	0.2	-6.610532398112005e7
0.3	0.3	-6.488415089084506e6
0.3	0.4	-1.0530243339140797e8
0.3	0.5	-1.8688597534695005e8
0.3	0.6	-2.174140412322142e8
0.3	0.7	-2.567496209756832e8
0.3	0.8	-2.5944153687364292e8
0.3	0.9	-3.175279658616848e8
0.3	1.0	-3.0895292011901474e8
0.3	1.1	-3.284750014890857e8
0.3	1.2	-2.965322717676916e8
0.3	1.3	-2.992485124239645e8
0.3	1.4	-2.8485560191282654e8
0.3	1.5	-3.071896652025852e8
0.3	1.6	-3.122215373817797e8
0.3	1.7	-3.1616139336833096e8
0.3	1.8	-3.182980985650463e8
0.3	1.9	-3.179791913685932e8
0.3	2.0	-3.193938440765991e8
0.3	2.1	-3.2014870161206055e8
0.3	2.2	-3.187500384037342e8
0.3	2.3	-3.196883055898857e8
0.3	2.4	-3.2018596406170654e8
0.3	2.5	-3.1819060872613907e8
0.3	2.6	-3.190886529387417e8
0.3	2.7	-3.196254746384144e8
0.3	2.8	-3.1980502970664215e8
0.3	2.9	-3.18023760974453e8
0.3	3.0	-3.187197652469864e8
0.3	3.1	-3.1909730540815353e8
0.3	3.2	-3.1915568173210526e8
0.3	3.3	-3.174881345897217e8
0.3	3.4	-3.181094097796383e8
0.3	3.5	-3.1844111183304596e8
0.3	3.6	-3.184818649654236e8
