X0	Y0	Rel_dens
0.0	0.0	-1.0e6
0.0	0.1	-3.5590040567221425e7
0.0	0.2	3.5899785691021085e6
0.0	0.3	1.325141741956234e7
0.0	0.4	3.596493597077e7
0.0	0.5	9.251958331374669e7
0.0	0.6	4.1973811407857294e9
0.0	0.7	3.8874735022261963e9
0.0	0.8	3.507083122190848e9
0.0	0.9	3.1082276459618917e9
0.0	1.0	2.711608687641644e9
0.0	1.1	2.316758899085737e9
0.0	1.2	1.9047902592759953e9
0.0	1.3	1.4515853855447035e9
0.0	1.4	9.394038423986425e8
0.0	1.5	5.813889155380535e8
0.0	1.6	4.039786713087406e8
0.0	1.7	2.930570823805132e8
0.0	1.8	2.1880811732564926e8
0.0	1.9	1.6705009972263813e8
0.0	2.0	1.2986321571240997e8
0.0	2.1	1.0255969316646004e8
0.0	2.2	8.20861613178463e7
0.0	2.3	6.644810177978897e7
0.0	2.4	5.436661663572693e7
0.0	2.5	4.4893976506837845e7
0.0	2.6	3.7399495399030685e7
0.0	2.7	3.138113737871933e7
0.0	2.8	2.648833282042694e7
0.0	2.9	2.2499915814329147e7
0.0	3.0	1.9191715016742706e7
0.0	3.1	1.643817400573349e7
0.0	3.2	1.4138745937767029e7
0.0	3.3	1.222037220571518e7
0.0	3.4	1.0585375702505112e7
0.0	3.5	9.174947087215424e6
0.0	3.6	8.004272143493652e6
0.0	3.7	6.948887366235733e6
0.0	3.8	6.072359105737686e6
0.0	3.9	5.2809200992183685e6
0.0	4.0	4.623549154981613e6
0.0	4.1	4.0092042837734222e6
0.0	4.2	3.500550379545212e6
0.0	4.3	3.02975976194191e6
0.0	4.4	2.6219443137130737e6
0.0	4.5	2.2751011759910583e6
0.0	4.6	1.9353853958911896e6
0.0	4.7	1.6496222236614227e6
0.0	4.8	1.4033564661636353e6
0.0	4.9	1.1593298163490295e6
0.0	5.0	949758.5874118805
0.0	5.1	768696.1248970032
0.0	5.2	600569.1492366791
0.0	5.3	438602.5641345978
0.0	5.4	299813.1567211151
0.0	5.5	178256.87084388733
0.0	5.6	67525.00517463684
0.0	5.7	-46229.169050216675
0.0	5.8	-143947.67932510376
0.0	5.9	-229581.16110420227
0.0	6.0	-305895.58250427246
0.0	6.1	-376869.45129966736
0.0	6.2	-451144.6457386017
0.0	6.3	-515422.6809234619
0.0	6.4	-572014.9534282684
0.0	6.5	-622594.4707489014
0.0	6.6	-668366.3033256531
0.0	6.7	-711506.614780426
0.0	6.8	-758003.9213352203
0.0	6.9	-798503.4249324799
0.0	7.0	-834294.2144699097
0.0	7.1	-866343.6646690369
0.0	7.2	-895371.1862621307
0.0	7.3	-921911.4836006165
0.0	7.4	-946364.0405387878
0.0	7.5	-973246.3670253754
0.0	7.6	-998445.5259094238
0.0	7.7	-1.0206766598529816e6
0.0	7.8	-1.0405171741905212e6
0.0	7.9	-1.0584129196052551e6
0.0	8.0	-1.074705420829773e6
0.0	8.1	-1.0896563099536896e6
0.0	8.2	-1.1034658910274506e6
0.0	8.3	-1.1162881890716553e6
0.0	8.4	-1.129485899930954e6
0.0	8.5	-1.143721395149231e6
0.0	8.6	-1.156262433895111e6
0.0	8.7	-1.1674129499015808e6
0.0	8.8	-1.1774173853549957e6
0.0	8.9	-1.1864704913349152e6
0.0	9.0	-1.1947262963790894e6
0.0	9.1	-1.2023059271144867e6
0.0	9.2	-1.2093037196235657e6
0.0	9.3	-1.21579341157341e6
0.0	9.4	-1.221833861661911e6
0.0	9.5	-1.227472217163086e6
0.0	9.6	-1.2327471619224548e6
0.0	9.7	-1.2395493012657166e6
0.0	9.8	-1.2455988720664978e6
0.0	9.9	-1.2509398912677765e6
0.0	10.0	-1.2556856884765625e6
0.1	0.0	1.3687946054497883e6
0.1	0.1	7.145704684797152e9
0.1	0.2	7.597448835151853e9
0.1	0.3	7.325639633374006e9
0.1	0.4	6.953941604075595e9
0.1	0.5	6.531303356571116e9
0.1	0.6	6.065156416293829e9
0.1	0.7	5.559592934419354e9
0.1	0.8	5.018719485667988e9
0.1	0.9	4.450090606455339e9
0.1	1.0	3.8596531795484123e9
0.1	1.1	3.2544454413921766e9
0.1	1.2	2.636144881199257e9
0.1	1.3	2.0004425093632612e9
0.1	1.4	1.3398063076501436e9
0.1	1.5	8.678097407462645e8
0.1	1.6	6.057757534507008e8
0.1	1.7	4.333027924637089e8
0.1	1.8	3.1455812571221066e8
0.1	1.9	2.3060405429318523e8
0.1	2.0	1.7002195910773468e8
0.1	2.1	1.2550980247047043e8
0.1	2.2	9.231750985832214e7
0.1	2.3	6.724301250452232e7
0.1	2.4	4.7905215715530396e7
0.1	2.5	3.2963547909276962e7
0.1	2.6	2.1211880521520615e7
0.1	2.7	1.1838001662500381e7
0.1	2.8	4.333445388504028e6
0.1	2.9	-1.7335530943717957e6
0.1	3.0	-6.670583963569641e6
0.1	3.1	-1.0784730437047958e7
0.1	3.2	-1.4198645807683945e7
0.1	3.3	-1.7027748941877365e7
0.1	3.4	-1.9387142423519135e7
0.1	3.5	-2.143472354115677e7
0.1	3.6	-2.313076136860466e7
0.1	3.7	-2.4615332537952423e7
0.1	3.8	-2.5872651321401596e7
0.1	3.9	-2.697395291045189e7
0.1	4.0	-2.790754281004715e7
0.1	4.1	-2.8751019893993378e7
0.1	4.2	-2.9450154870283127e7
0.1	4.3	-3.0104202745256424e7
0.1	4.4	-3.0659930713933945e7
0.1	4.5	-3.1142777000980377e7
0.1	4.6	-3.159961116117859e7
0.1	4.7	-3.1982948267368317e7
0.1	4.8	-3.231679060959816e7
0.1	4.9	-3.264760018279457e7
0.1	5.0	-3.2924478394716263e7
0.1	5.1	-3.3166054959770203e7
0.1	5.2	-3.3393079946552277e7
0.1	5.3	-3.3605990585855484e7
0.1	5.4	-3.378852180018425e7
0.1	5.5	-3.394832854470253e7
0.1	5.6	-3.409889528390694e7
0.1	5.7	-3.424449536900902e7
0.1	5.8	-3.437422630036163e7
0.1	5.9	-3.448483758421326e7
0.1	6.0	-3.4581560197408676e7
0.1	6.1	-3.468112126243973e7
0.1	6.2	-3.477222445288658e7
0.1	6.3	-3.4857551375356674e7
0.1	6.4	-3.493169287595558e7
0.1	6.5	-3.499164576548958e7
0.1	6.6	-3.50527418456707e7
0.1	6.7	-3.511253503861809e7
0.1	6.8	-3.517186307539749e7
0.1	6.9	-3.522342496909714e7
0.1	7.0	-3.5268810274087906e7
0.1	7.1	-3.53090459556942e7
0.1	7.2	-3.534483841030693e7
0.1	7.3	-3.538414727610588e7
0.1	7.4	-3.5415270761053085e7
0.1	7.5	-3.5449781348875046e7
0.1	7.6	-3.547825936276817e7
0.1	7.7	-3.5511579668338776e7
0.1	7.8	-3.553447817679787e7
0.1	7.9	-3.55601029036808e7
0.1	8.0	-3.557921882776642e7
0.1	8.1	-3.559241602756691e7
0.1	8.2	-3.561607147497368e7
0.1	8.3	-3.563485247419548e7
0.1	8.4	-3.5649232924598694e7
0.1	8.5	-3.567028892210007e7
0.1	8.6	-3.5678538569309235e7
0.1	8.7	-3.5697280378276825e7
0.1	8.8	-3.571277201252937e7
0.1	8.9	-3.572559138176918e7
0.1	9.0	-3.572892600516701e7
0.1	9.1	-3.5741856440366745e7
0.1	9.2	-3.5753059088523865e7
0.1	9.3	-3.57628838441906e7
0.1	9.4	-3.5771596905454636e7
0.1	9.5	-3.5779422376075745e7
0.1	9.6	-3.5787315357061386e7
0.1	9.7	-3.578628113673401e7
0.1	9.8	-3.5794761197179794e7
0.1	9.9	-3.5801952229364395e7
0.1	10.0	-3.581675194065094e7
0.2	0.0	2.19225186109502e7
0.2	0.1	8.543300253560508e9
0.2	0.2	8.935074545731815e9
0.2	0.3	8.707605979232883e9
0.2	0.4	8.266967074747883e9
0.2	0.5	7.751881600215975e9
0.2	0.6	7.198632505568827e9
0.2	0.7	6.61431887713023e9
0.2	0.8	5.998597771995901e9
0.2	0.9	5.352654526025129e9
0.2	1.0	4.67645308978311e9
0.2	1.1	3.9736628950353303e9
0.2	1.2	3.2470613364383144e9
0.2	1.3	2.498009380181757e9
0.2	1.4	1.726925765877388e9
0.2	1.5	1.1546456701673775e9
0.2	1.6	8.071688502793989e8
0.2	1.7	5.652915945119743e8
0.2	1.8	3.920205504015665e8
0.2	1.9	2.661258392615757e8
0.2	2.0	1.7369398342824364e8
0.2	2.1	1.0515561929788971e8
0.2	2.2	5.3773120566438675e7
0.2	2.3	1.4925216824029922e7
0.2	2.4	-1.4796749509098053e7
0.2	2.5	-3.7707026213365555e7
0.2	2.6	-5.5710206314554214e7
0.2	2.7	-6.98861459540863e7
0.2	2.8	-8.115660901612473e7
0.2	2.9	-9.01995078010521e7
0.2	3.0	-9.74910420953064e7
0.2	3.1	-1.0347747972402191e8
0.2	3.2	-1.0845983327478409e8
0.2	3.3	-1.1258641766593552e8
0.2	3.4	-1.1594175835695457e8
0.2	3.5	-1.1887515643901634e8
0.2	3.6	-1.2129620257752609e8
0.2	3.7	-1.2336321059019661e8
0.2	3.8	-1.2513272699825668e8
0.2	3.9	-1.2663586867520523e8
0.2	4.0	-1.2795413935940552e8
0.2	4.1	-1.2908177618457031e8
0.2	4.2	-1.3004716080182076e8
0.2	4.3	-1.3095106508251e8
0.2	4.4	-1.3169536590489769e8
0.2	4.5	-1.3235534657159805e8
0.2	4.6	-1.3295205776074791e8
0.2	4.7	-1.3344082135434914e8
0.2	4.8	-1.3392990949263382e8
0.2	4.9	-1.343380912833748e8
0.2	5.0	-1.347242146268654e8
0.2	5.1	-1.3500012241651154e8
0.2	5.2	-1.3533273128489685e8
0.2	5.3	-1.3561826834352875e8
0.2	5.4	-1.3585940836410522e8
0.2	5.5	-1.3606849594667244e8
0.2	5.6	-1.3627108552023315e8
0.2	5.7	-1.364581447516613e8
0.2	5.8	-1.3661812126344872e8
0.2	5.9	-1.3675404662939262e8
0.2	6.0	-1.368668034013672e8
0.2	6.1	-1.369656158776226e8
0.2	6.2	-1.3713933675994492e8
0.2	6.3	-1.372248991941166e8
0.2	6.4	-1.372702721201458e8
0.2	6.5	-1.374116844139862e8
0.2	6.6	-1.3743713165027237e8
0.2	6.7	-1.3756429420148277e8
0.2	6.8	-1.375727769536705e8
0.2	6.9	-1.3768899903419304e8
0.2	7.0	-1.3776940689952087e8
0.2	7.1	-1.377584947098198e8
0.2	7.2	-1.3784376813178062e8
0.2	7.3	-1.3790766743061638e8
0.2	7.4	-1.3795692971062088e8
0.2	7.5	-1.3793179104847145e8
0.2	7.6	-1.3799753362075233e8
0.2	7.7	-1.3805058518418694e8
0.2	7.8	-1.3809311446248817e8
0.2	7.9	-1.3812861331284714e8
0.2	8.0	-1.3815890676622772e8
0.2	8.1	-1.3818534420782852e8
0.2	8.2	-1.3820863032642365e8
0.2	8.3	-1.3822967525857735e8
0.2	8.4	-1.3825333716233444e8
0.2	8.5	-1.3827356956918335e8
0.2	8.6	-1.3828916375112152e8
0.2	8.7	-1.3829987338001633e8
0.2	8.8	-1.3830477040681267e8
