Time 	F_r1	F_r2	F_r3	LF_r1	LF_r2	LF_r3	LF_r4	L_r1	L_r2	L_r3
0	0.05	0.051	0.022	0.001	0	0	0	0	0	0
0.3333	0.058	0.06	0.029	0.002	0	0.002	0	0	0	0
0.6667	0.056	0.062	0.028	0.003	0	0.004	0.001	0	0	0
1	0.058	0.062	0.027	0.004	0	0.004	0.002	0	0	0
1.3333	0.059	0.062	0.027	0.004	0	0.004	0.003	0	0	0
1.6667	0.061	0.062	0.027	0.005	0	0.004	0.004	0	0	0
2	0.061	0.062	0.028	0.005	0	0.005	0.005	0	0	0.001
2.3333	0.062	0.063	0.029	0.006	0	0.005	0.006	0.001	0	0.001
2.6667	0.064	0.064	0.029	0.006	0	0.006	0.007	0.002	0	0.003
3	0.063	0.064	0.029	0.007	0	0.006	0.007	0.003	0	0.003
3.3333	0.064	0.065	0.032	0.007	0	0.007	0.008	0.004	0	0.004
3.6667	0.064	0.066	0.031	0.008	0	0.007	0.008	0.005	0	0.006
4	0.066	0.066	0.032	0.008	0	0.007	0.009	0.007	0	0.007
4.3333	0.067	0.067	0.033	0.009	0	0.008	0.009	0.008	0	0.008
4.6667	0.067	0.068	0.034	0.009	0	0.008	0.01	0.009	0	0.009
5	0.068	0.068	0.034	0.009	0	0.009	0.01	0.01	0	0.01
5.3333	0.068	0.069	0.034	0.01	0	0.009	0.011	0.011	0	0.012
5.6667	0.069	0.07	0.035	0.01	0	0.009	0.011	0.012	0	0.013
6	0.069	0.071	0.036	0.011	0	0.009	0.012	0.013	0	0.014
6.3333	0.07	0.071	0.036	0.011	0	0.01	0.012	0.014	0	0.015
6.6667	0.071	0.071	0.037	0.011	0.001	0.01	0.013	0.015	0	0.016
7	0.071	0.072	0.039	0.012	0.001	0.011	0.013	0.015	0	0.016
7.3333	0.071	0.073	0.038	0.012	0.001	0.011	0.014	0.016	0	0.017
7.6667	0.072	0.074	0.04	0.013	0.001	0.011	0.014	0.017	0	0.018
8	0.073	0.074	0.04	0.013	0.002	0.012	0.015	0.018	0	0.019
8.3333	0.073	0.075	0.04	0.013	0.002	0.012	0.015	0.02	0	0.02
8.6667	0.074	0.076	0.041	0.014	0.002	0.012	0.015	0.02	0	0.021
9	0.074	0.076	0.041	0.014	0.003	0.013	0.016	0.022	0	0.022
9.3333	0.074	0.077	0.043	0.015	0.003	0.013	0.016	0.022	0	0.024
9.6667	0.076	0.078	0.044	0.015	0.003	0.014	0.017	0.023	0	0.026
10	0.077	0.078	0.044	0.015	0.003	0.014	0.018	0.024	0	0.027
10.3333	0.078	0.08	0.044	0.016	0.004	0.015	0.019	0.024	0	0.027
10.6667	0.077	0.08	0.044	0.017	0.004	0.015	0.019	0.025	0	0.028
11	0.08	0.08	0.046	0.017	0.005	0.016	0.02	0.025	0	0.028
11.3333	0.079	0.081	0.047	0.018	0.006	0.017	0.021	0.026	0	0.029
11.6667	0.08	0.083	0.048	0.019	0.006	0.017	0.022	0.026	0	0.03
12	0.081	0.083	0.049	0.02	0.007	0.018	0.024	0.027	0	0.03
12.3333	0.081	0.083	0.048	0.021	0.008	0.02	0.025	0.027	0	0.03
12.6667	0.083	0.084	0.05	0.022	0.009	0.021	0.027	0.027	0	0.03
13	0.086	0.087	0.052	0.023	0.011	0.023	0.029	0.027	0	0.03
13.3333	0.084	0.086	0.05	0.025	0.012	0.025	0.031	0.026	0	0.03
13.6667	0.086	0.087	0.053	0.028	0.015	0.027	0.034	0.026	0.002	0.03
14	0.087	0.088	0.053	0.031	0.017	0.035	0.037	0.026	0.003	0.031
14.3333	0.088	0.09	0.055	0.033	0.019	0.031	0.039	0.026	0.005	0.031
14.6667	0.089	0.089	0.055	0.036	0.021	0.039	0.042	0.026	0.006	0.031
15	0.094	0.097	0.058	0.038	0.026	0.035	0.046	0.027	0.007	0.031
15.3333	0.097	0.099	0.062	0.039	0.025	0.038	0.05	0.027	0.009	0.031
15.6667	0.105	0.097	0.061	0.041	0.029	0.04	0.054	0.028	0.009	0.032
16	0.108	0.105	0.064	0.044	0.034	0.049	0.052	0.028	0.01	0.032
16.3333	0.115	0.109	0.067	0.046	0.032	0.046	0.055	0.029	0.01	0.032
16.6667	0.122	0.11	0.065	0.05	0.035	0.055	0.058	0.029	0.011	0.033
17	0.117	0.096	0.06	0.053	0.041	0.056	0.067	0.03	0.011	0.033
17.3333	0.112	0.097	0.062	0.057	0.041	0.059	0.07	0.03	0.012	0.033
17.6667	0.107	0.1	0.064	0.061	0.045	0.065	0.069	0.03	0.012	0.034
18	0.104	0.098	0.062	0.066	0.05	0.062	0.076	0.032	0.013	0.034
18.3333	0.098	0.09	0.061	0.071	0.055	0.075	0.079	0.032	0.013	0.034
18.6667	0.111	0.102	0.074	0.077	0.06	0.072	0.084	0.033	0.014	0.034
19	0.104	0.09	0.063	0.083	0.066	0.08	0.091	0.034	0.015	0.035
19.3333	0.109	0.09	0.066	0.09	0.073	0.091	0.098	0.033	0.015	0.034
19.6667	0.108	0.091	0.069	0.098	0.08	0.094	0.106	0.034	0.015	0.033
20	0.095	0.084	0.056	0.106	0.088	0.113	0.115	0.032	0.015	0.033
20.3333	0.113	0.094	0.078	0.117	0.097	0.116	0.125	0.033	0.015	0.032
20.6667	0.107	0.09	0.072	0.128	0.107	0.135	0.137	0.032	0.016	0.032
21	0.102	0.087	0.068	0.142	0.119	0.146	0.15	0.032	0.016	0.031
21.3333	0.093	0.083	0.056	0.158	0.133	0.151	0.164	0.031	0.016	0.031
21.6667	0.108	0.092	0.077	0.175	0.148	0.164	0.181	0.031	0.017	0.03
22	0.105	0.087	0.073	0.194	0.165	0.18	0.199	0.03	0.017	0.029
22.3333	0.096	0.083	0.06	0.216	0.185	0.198	0.219	0.029	0.018	0.029
22.6667	0.096	0.082	0.06	0.241	0.205	0.216	0.242	0.028	0.018	0.028
23	0.092	0.081	0.055	0.267	0.229	0.237	0.272	0.027	0.018	0.026
23.3333	0.089	0.081	0.054	0.282	0.256	0.262	0.302	0.026	0.018	0.026
23.6667	0.084	0.079	0.048	0.291	0.28	0.287	0.324	0.025	0.019	0.025
24	0.089	0.08	0.056	0.293	0.291	0.302	0.335	0.023	0.019	0.024
