	0X	0.25X	0.5X	0.75X	1X	1.25X	1.5X	1.75X	2X	2.25X	2.5X	2.75X	3X
0X	28555.71429	99545	95335	49950	49932.5	63893.33333	61533.33333	63826.66667	66563.33333	28235.71429	64066.66667	33033.33333	62450
0.25X	28518.57143	49265	66260	32988.33333	24828.75	44447.5	85240	43087.5	23106.25	39514	39342	28351.42857	33181.66667
0.5X	24942.5	33340	39726	39574	19816	39614	39504	33053.33333	49387.5	22020	32981.66667	33058.33333	65836.66667
0.75X	33273.33333	18141.81818	39746	28245.71429	49505	49500	24752.5	32971.66667	39494	18030.90909	39562	21987.77778	64990
1X	24996.25	33221.66667	22031.11111	49237.5	49310	49320	49320	39432	49410	39462	28218.57143	24713.75	65736.66667
1.25X	32923.33333	28471.42857	24795	32975	49197.5	49330	24663.75	28257.14286	49362.5	39514	32868.33333	24668.75	49457.5
1.5X	24662.5	28455.71429	24813.75	39450	49350	49392.5	24711.25	39480	49382.5	32933.33333	32926.66667	32935	49522.5
1.75X	32393.33333	24926.25	28205.71429	24747.5	49242.5	65740	28265.71429	32898.33333	49430	39562	32960	39554	65856.66667
2X	24696.25	18104.54545	39476	49457.5	49250	49237.5	32956.66667	21948.88889	49307.5	39522	32915	39602	39568
2.25X	28127.14286	19907	39526	49302.5	49250	65660	39448	49325	32891.66667	21947.77778	24715	49442.5	49385
2.5X	28287.14286	39774	16519.16667	32938.33333	39432	49395	49355	39470	21970	21977.77778	32935	49435	22056.66667
2.75X	24788.75	24878.75	32996.66667	19786	39524	39502	39528	39550	18007.27273	15243.84615	39544	39572	49367.5
3X	16575.83333	28417.14286	33013.33333	32983.33333	39538	24687.5	49390	39510	24713.75	39508	39562	49402.5	65723.33333
