	0X	0.25X	0.5X	0.75X	1X	1.25X	1.5X	1.75X	2X	2.25X	2.5X	2.75X	3X
0X	0.7	0.2	0.2	0.4	0.4	0.3	0.3	0.3	0.3	0.7	0.3	0.6	0.3
0.25X	0.7	0.4	0.3	0.6	0.8	0.4	0.2	0.4	0.8	0.5	0.5	0.7	0.6
0.5X	0.8	0.6	0.5	0.5	1	0.5	0.5	0.6	0.4	0.9	0.6	0.6	0.3
0.75X	0.6	1.1	0.5	0.7	0.4	0.4	0.8	0.6	0.5	1.1	0.5	0.9	0.3
1X	0.8	0.6	0.9	0.4	0.4	0.4	0.4	0.5	0.4	0.5	0.7	0.8	0.3
1.25X	0.6	0.7	0.8	0.6	0.4	0.4	0.8	0.7	0.4	0.5	0.6	0.8	0.4
1.5X	0.8	0.7	0.8	0.5	0.4	0.4	0.8	0.5	0.4	0.6	0.6	0.6	0.4
1.75X	0.6	0.8	0.7	0.8	0.4	0.3	0.7	0.6	0.4	0.5	0.6	0.5	0.3
2X	0.8	1.1	0.5	0.4	0.4	0.4	0.6	0.9	0.4	0.5	0.6	0.5	0.5
2.25X	0.7	1	0.5	0.4	0.4	0.3	0.5	0.4	0.6	0.9	0.8	0.4	0.4
2.5X	0.7	0.5	1.2	0.6	0.5	0.4	0.4	0.5	0.9	0.9	0.6	0.4	0.9
2.75X	0.8	0.8	0.6	1	0.5	0.5	0.5	0.5	1.1	1.3	0.5	0.5	0.4
3X	1.2	0.7	0.6	0.6	0.5	0.8	0.4	0.5	0.8	0.5	0.5	0.4	0.3
