	0X L 	0.25X L 	0.5X L 	0.75X L	1X L	1.25X L	1.5X L	1.75X L	2X L	2.25X L	2.5X L	2.75X L	3X L	3.25X L	3.5X L	3.75X L	4X L
0X F	0.011	0.06	0.045	0.033	0.049	0.021	0.019	0.009	0.042	0.023	0.031	0.02	0.021	0.025	0.016	0.015	0.02
0.25X F	0.164	0.19	0.202	0.17	0.149	0.205	0.185	0.151	0.149	0.16	0.15	0.148	0.192	0.164	0.146	0.157	0.213
0.5X F	0.26	0.254	0.233	0.194	0.195	0.223	0.243	0.234	0.281	0.231	0.228	0.23	0.267	0.248	0.358	0.209	0.244
0.75X F	0.41	0.423	0.495	0.304	0.4	0.332	0.436	0.276	0.416	0.136	0.154	0.172	0.175	0.235	0.164	0.216	0.175
1X F	0.238	0.533	0.474	0.412	0.428	0.449	0.437	0.417	0.222	0.426	0.349	0.323	0.313	0.293	0.311	0.623	0.39
1.25X F	0.493	0.472	0.495	0.232	0.354	0.501	0.398	0.43	0.328	0.295	0.57	0.376	0.548	0.504	0.499	0.488	0.564
1.5X F	0.65	0.643	0.608	0.451	0.483	0.476	0.668	0.493	0.443	0.448	0.506	0.493	0.533	0.647	0.658	0.49	0.363
1.75X F	0.825	0.527	0.416	0.329	0.333	0.345	0.552	0.484	0.465	0.479	0.518	0.485	0.436	0.625	0.459	0.487	0.527
2X F	0.384	0.375	0.624	0.408	0.511	0.518	0.524	0.535	0.519	0.399	0.501	0.491	0.429	0.521	0.566	0.765	0.47
2.25X F	0.589	0.584	0.564	0.483	0.322	0.391	0.504	0.408	0.493	0.451	0.52	0.464	0.556	0.46	0.488	0.69	0.449
2.5X F	0.409	0.455	0.365	0.341	0.474	0.492	0.503	0.497	0.477	0.484	0.642	0.495	0.514	0.488	0.551	0.457	0.448
2.75X F	0.524	0.542	0.574	0.577	0.521	0.65	0.588	0.721	0.635	0.513	0.735	0.518	0.549	0.532	0.54	0.501	0.447
3X F	0.557	0.517	0.52	0.479	0.457	0.479	0.499	0.582	0.439	0.445	0.479	0.493	0.492	0.517	0.457	0.46	0.411
3.25X F	0.542	0.486	0.557	0.413	0.396	0.369	0.373	0.359	0.38	0.396	0.37	0.718	0.776	0.612	0.381	0.38	0.412
3.5X F	0.464	0.427	0.397	0.404	0.497	0.526	0.552	0.765	0.431	0.383	0.305	0.362	0.305	0.297	0.314	0.334	0.339
3.75X F	0.528	0.475	0.444	0.319	0.5	0.288	0.318	0.336	0.284	0.3	0.467	0.367	0.362	0.395	0.69	0.309	0.652
4X F	0.416	0.457	0.293	0.265	0.399	0.289	0.452	0.298	0.272	0.282	0.357	0.252	0.256	0.268	0.288	0.277	0.416
