	0X L 	0.25X L 	0.5X L 	0.75X L	1X L	1.25X L	1.5X L	1.75X L	2X L	2.25X L	2.5X L	2.75X L	3X L	3.25X L	3.5X L	3.75X L	4X L
0X F	0.07	0.198	0.236	0.326	0.399	0.412	0.363	0.266	0.29	0.225	0.231	0.253	0.234	0.181	0.197	0.189	0.211
0.25X F	0.121	0.171	0.227	0.266	0.308	0.329	0.37	0.396	0.38	0.295	0.323	0.315	0.339	0.321	0.332	0.305	0.318
0.5X F	0.125	0.19	0.233	0.291	0.322	0.304	0.42	0.373	0.356	0.363	0.419	0.347	0.352	0.391	0.318	0.37	0.322
0.75X F	0.143	0.191	0.246	0.291	0.303	0.341	0.335	0.441	0.332	0.331	0.317	0.304	0.335	0.293	0.332	0.308	0.334
1X F	0.151	0.176	0.211	0.283	0.323	0.322	0.322	0.324	0.296	0.337	0.298	0.328	0.324	0.32	0.332	0.323	0.313
1.25X F	0.156	0.19	0.216	0.269	0.313	0.346	0.295	0.351	0.314	0.314	0.403	0.633	0.376	0.344	0.534	0.377	0.39
1.5X F	0.162	0.243	0.269	0.321	0.354	0.499	0.555	0.359	0.353	0.357	0.338	0.331	0.353	0.366	0.354	0.375	0.372
1.75X F	0.165	0.29	0.302	0.338	0.36	0.389	0.489	0.357	0.357	0.355	0.38	0.373	0.379	0.534	0.369	0.372	0.378
2X F	0.188	0.291	0.292	0.335	0.323	0.386	0.395	0.328	0.498	0.361	0.403	0.37	0.369	0.542	0.365	0.458	0.364
2.25X F	0.197	0.264	0.305	0.412	0.366	0.399	0.4	0.391	0.48	0.349	0.401	0.389	0.414	0.414	0.498	0.592	0.388
2.5X F	0.218	0.269	0.326	0.357	0.371	0.396	0.402	0.409	0.414	0.516	0.688	0.399	0.416	0.397	0.416	0.439	0.543
2.75X F	0.214	0.277	0.318	0.371	0.544	0.606	0.398	0.43	0.435	0.518	0.375	0.475	0.506	0.557	0.471	0.533	0.561
3X F	0.008	0.116	0.292	0.306	0.362	0.379	0.613	0.369	0.381	0.371	0.393	0.466	0.558	0.326	0.308	0.335	0.352
3.25X F	0.013	0.154	0.215	0.319	0.38	0.343	0.506	0.52	0.297	0.337	0.352	0.353	0.53	0.421	0.508	0.391	0.357
3.5X F	0.008	0.121	0.279	0.303	0.326	0.357	0.465	0.457	0.315	0.441	0.403	0.321	0.461	0.455	0.488	0.335	0.363
3.75X F	0.026	0.125	0.279	0.33	0.485	0.435	0.343	0.305	0.413	0.434	0.281	0.282	0.307	0.341	0.48	0.395	0.401
4X F	0.011	0.128	0.241	0.327	0.55	0.297	0.319	0.308	0.416	0.323	0.364	0.402	0.376	0.447	0.343	0.489	0.339
