	0X L 	0.25X L 	0.5X L 	0.75X L	1X L	1.25X L	1.5X L	1.75X L	2X L	2.25X L	2.5X L	2.75X L	3X L	3.25X L	3.5X L	3.75X L	4X L
0X F	2589	3074	2876	2285	2538	2189	1986	1764	2045	2021	1932	2057	2324	2328	2036	1887	1905
0.25X F	17878	21978	23578	20036	17204	20932	16627	15504	15780	15375	14916	15482	17713	15305	14671	14678	16999
0.5X F	18471	22606	19154	17795	17800	16889	18580	19714	18469	16409	17670	18020	17338	18817	18970	17265	16321
0.75X F	14809	15257	18774	15665	14447	15473	17699	16609	16624	18398	17444	18097	18101	29822	17915	28504	17454
1X F	16583	16106	16333	15993	16267	15285	15196	15390	16757	15078	15533	15464	15874	16657	15817	16461	13973
1.25X F	15327	15417	15443	16039	16013	16838	15333	16555	16305	15903	16350	14126	16266	15437	15245	15157	14880
1.5X F	18249	17671	18308	17705	18375	19986	19995	18036	16688	17098	16591	16205	15937	15440	16565	14912	15318
1.75X F	26531	25084	17462	17021	17481	17544	17894	17952	17548	16989	16306	16208	15239	16146	16011	15350	15608
2X F	24912	21093	23327	20762	20029	16460	17568	17139	18547	16809	16901	16573	16878	16412	14900	15739	15624
2.25X F	17741	18183	18590	21828	17229	17466	17393	17252	17267	16562	16473	16817	16147	16012	15568	15503	14999
2.5X F	16993	17073	16425	17320	17588	17472	17682	17102	17645	17591	17428	16289	16053	16013	16403	15693	15347
2.75X F	17762	17804	18096	18584	18111	19086	17982	16181	16746	16090	16552	16587	16081	15412	16076	15923	15259
3X F	16650	15886	15644	16254	17648	15875	17817	17589	16390	16124	16781	17029	15854	14884	15643	16164	16105
3.25X F	19351	16488	16579	15975	16578	16551	17069	16470	16497	16599	16370	17007	16948	16017	16005	15288	15391
3.5X F	16163	17100	15860	16547	17196	17488	17242	18142	16794	16977	16459	16617	16312	15917	16797	16372	16649
3.75X F	16759	18598	16276	18772	18728	16457	16647	16966	17250	17087	16527	17581	16880	16601	16395	16466	16409
4X F	16687	16935	19613	17070	19057	17373	18323	16908	16711	17081	17012	16520	16847	17469	17247	17054	15418
