	0X L 	0.25X L 	0.5X L 	0.75X L	1X L	1.25X L	1.5X L	1.75X L	2X L	2.25X L	2.5X L	2.75X L	3X L	3.25X L	3.5X L	3.75X L	4X L
0X F	528	6778	10793	11910	13004	13247	12681	12832	12312	11280	11001	12126	14801	9550	9311	7872	7183
0.25X F	-284	5420	7366	10092	10029	10562	15778	15050	13020	12567	12511	11230	11109	9404	8604	11868	10144
0.5X F	-602	6387	14222	11229	11832	11134	11704	14031	12493	10153	14273	9332	8827	10322	15068	11629	11854
0.75X F	-181	6657	12453	12782	12945	9721	8137	10830	12589	15930	10974	10096	8479	10760	11875	11679	10977
1X F	-380	4114	7755	11746	15919	9023	8804	8004	9994	11825	8594	7426	9225	9056	8352	11072	16612
1.25X F	145	4296	7361	11464	10405	13941	9492	9053	10023	10742	15381	17719	5190	5369	6883	5710	3796
1.5X F	-1413	1851	3827	4034	4419	5229	10491	5402	5693	5404	5422	5063	4983	5010	4680	4797	4878
1.75X F	-1519	4096	6830	5025	4701	4954	6845	4484	4461	4415	4608	4573	4583	8097	5454	5168	4676
2X F	-1422	4021	5883	7040	4200	4586	4686	4733	7465	4632	5316	5016	4375	7776	4196	5665	4000
2.25X F	-1764	1311	3698	6318	4525	4777	4589	4471	6330	4215	4617	4344	4453	4720	4843	5345	4992
2.5X F	-1473	1218	3131	4065	3928	4280	4428	4259	4345	4863	5380	4331	4100	4074	4504	3932	6501
2.75X F	-1476	2341	3278	4423	5373	36439	23380	24385	24272	32916	23458	25659	22743	23177	23103	21357	32602
3X F	1962	11626	19253	20413	19246	20380	32900	18479	18415	21970	18085	25021	33206	22461	22582	23496	19124
3.25X F	1881	11392	15582	17371	21525	20861	26286	34795	23244	20988	19908	18561	32893	22031	33224	19887	20177
3.5X F	2439	13054	30552	35100	22094	19165	32125	31225	19243	31602	23553	20621	26252	27291	33486	22988	23602
3.75X F	1797	12197	21136	22255	31029	23732	22227	23010	26075	34928	23057	22050	20092	21539	31290	23828	23355
4X F	2188	17154	20944	25219	39974	24145	24218	22885	25562	24169	24528	25533	25150	33285	25670	28080	35891
