	0X L 	0.25X L 	0.5X L 	0.75X L	1X L	1.25X L	1.5X L	1.75X L	2X L	2.25X L	2.5X L	2.75X L	3X L	3.25X L	3.5X L	3.75X L	4X L
0X F	11461	10025	32556	32472	13185	33264	38587	9573	33401	16980	10789	52435	34140	30027	12592	27638	26581
0.25X F	13866	28369	25031	17677	7908	23728	9094	33407	11101	23733	10131	9377	23344	8739	8224	7839	16800
0.5X F	10441	20234	38043	8787	9039	8111	23423	17425	24148	15568	15453	6881	6317	20303	35714	9516	8325
0.75X F	11166	18778	22715	17613	13575	6068	13374	6993	10085	35326	7854	6912	8571	15400	14990	27851	6707
1X F	8826	7287	6726	8135	46249	8125	7389	15293	10430	6731	7176	6639	7248	7303	7124	9322	60246
1.25X F	13469	12129	10497	10877	9622	9327	8354	8447	8295	9608	12182	59964	48250	50704	43180	47411	43746
1.5X F	47466	35128	67222	41723	37944	54879	58375	43425	39257	35364	46436	30972	49127	47346	36297	27720	34015
1.75X F	29995	63817	51590	48039	37727	48392	47784	34897	33737	30063	32158	34790	42777	51756	45572	38157	32160
2X F	36027	40628	48535	43957	29356	28968	32717	39514	51802	42693	37313	39098	32630	43991	36769	32002	27037
2.25X F	26425	38251	59062	58976	48731	41131	32083	32576	31418	40111	30478	32033	37982	36264	52193	52253	46378
2.5X F	24880	17501	17657	22918	31327	47097	41380	42051	43835	56887	57539	43965	24464	13989	14832	19359	42392
2.75X F	35843	49302	53542	52244	52559	65746	14572	38554	14960	74786	13046	12340	36605	13419	12303	12221	11313
3X F	36749	18468	47028	28695	10362	42674	10692	9125	9562	10430	9989	12691	54594	35471	11683	10868	34216
3.25X F	9495	32056	8889	8863	14285	29297	42528	16538	11230	11038	35118	29699	33656	11298	39153	10082	11044
3.5X F	7850	41787	49347	38093	8511	7724	31433	32036	31427	34998	10464	32181	10405	14143	41418	26062	25777
3.75X F	7880	9118	12380	35543	28883	10743	30294	29152	15271	59501	20532	35862	10195	9879	40103	11204	37327
4X F	8466	10542	12144	15328	81679	14472	54580	12302	40700	13297	16347	17299	18120	43129	18838	89020	14586
