	0X L 	0.25X L 	0.5X L 	0.75X L	1X L	1.25X L	1.5X L	1.75X L	2X L	2.25X L	2.5X L	2.75X L	3X L	3.25X L	3.5X L	3.75X L	4X L
0X F	243	17	-74	-250	-358	-304	-174	-291	-194	-343	-432	-352	-330	-314	-317	-240	-323
0.25X F	735	1187	367	-219	-361	-145	-277	470	86	186	-57	-175	-95	-243	-200	-248	-158
0.5X F	1056	1200	1780	176	14	53	57	35	-6	-67	-28	-293	-227	255	795	105	-102
0.75X F	2076	1300	585	118	30	-328	26	-228	6	1367	140	-73	58	-56	-73	-1	-163
1X F	1700	638	185	124	1215	276	-29	240	-92	-154	-86	-59	-51	-96	-76	-79	1179
1.25X F	4377	1596	437	340	93	325	234	143	101	330	641	1835	258	108	4	-75	341
1.5X F	8788	1519	2642	686	110	50	1511	166	273	179	269	123	847	441	-112	-44	159
1.75X F	3403	4268	586	526	313	987	1150	72	73	137	366	-12	-144	953	487	55	-29
2X F	6647	2647	1727	298	263	267	258	218	1045	154	184	397	228	504	399	201	20
2.25X F	4465	1587	1016	1402	714	277	44	142	372	461	44	-41	-17	28	286	1004	332
2.5X F	4575	1358	847	649	249	718	91	74	189	470	1310	1060	274	291	382	235	618
2.75X F	6130	2826	919	893	1034	4287	181	693	202	1771	-91	-176	305	-163	-176	-155	-270
3X F	6753	3243	2260	738	25	824	-88	-301	-292	-276	-314	117	653	290	-239	-276	48
3.25X F	2365	1928	265	-167	509	473	1087	447	14	-163	355	156	230	-244	202	-328	-266
3.5X F	1998	2319	2628	1248	-34	55	439	164	269	166	-338	80	-339	-124	473	21	13
3.75X F	2641	627	720	725	502	-169	351	376	15	1194	393	316	-194	-207	472	-160	119
4X F	2561	808	482	338	4686	521	1511	76	320	13	216	61	134	508	32	2941	1837
