	0X L 	0.25X L 	0.5X L 	0.75X L	1X L	1.25X L	1.5X L	1.75X L	2X L	2.25X L	2.5X L	2.75X L	3X L	3.25X L	3.5X L	3.75X L	4X L
0X F	0.147	0.232	0.259	0.322	0.379	0.383	0.394	0.307	0.354	0.31	0.3	0.247	0.338	0.238	0.19	0.227	0.21
0.25X F	0.247	0.318	0.284	0.288	0.322	0.373	0.324	0.367	0.272	0.291	0.299	0.308	0.343	0.334	0.297	0.297	0.281
0.5X F	0.258	0.32	0.333	0.274	0.305	0.325	0.348	0.329	0.324	0.36	0.29	0.305	0.283	0.284	0.31	0.298	0.282
0.75X F	0.344	0.363	0.281	0.275	0.296	0.294	0.293	0.301	0.27	0.29	0.336	0.295	0.377	0.354	0.345	0.305	0.286
1X F	0.398	0.398	0.284	0.259	0.311	0.338	0.312	0.33	0.34	0.284	0.291	0.295	0.301	0.277	0.286	0.25	0.319
1.25X F	0.47	0.34	0.272	0.271	0.31	0.286	0.273	0.273	0.266	0.263	0.268	0.232	0.214	0.214	0.219	0.216	0.262
1.5X F	0.685	0.387	0.275	0.245	0.375	0.323	0.343	0.272	0.224	0.227	0.245	0.306	0.243	0.295	0.209	0.202	0.218
1.75X F	0.434	0.347	0.235	0.209	0.228	0.242	0.287	0.25	0.278	0.223	0.223	0.206	0.234	0.227	0.244	0.216	0.207
2X F	0.461	0.332	0.279	0.228	0.321	0.226	0.252	0.312	0.244	0.26	0.233	0.253	0.239	0.281	0.232	0.261	0.218
2.25X F	0.529	0.266	0.274	0.22	0.276	0.276	0.268	0.259	0.24	0.327	0.231	0.234	0.24	0.215	0.307	0.223	0.25
2.5X F	0.453	0.285	0.232	0.22	0.243	0.252	0.256	0.25	0.231	0.396	0.24	0.242	0.232	0.245	0.246	0.237	0.258
2.75X F	0.534	0.348	0.233	0.205	0.495	0.402	0.466	0.465	0.538	0.543	0.523	0.487	0.436	0.452	0.341	0.392	0.424
3X F	0.567	0.5	0.527	0.409	0.481	0.467	0.436	0.388	0.367	0.381	0.376	0.387	0.431	0.453	0.455	0.416	0.369
3.25X F	0.883	0.6	0.378	0.435	0.481	0.416	0.36	0.396	0.391	0.325	0.454	0.431	0.419	0.499	0.385	0.34	0.383
3.5X F	0.76	0.571	0.323	0.394	0.439	0.454	0.433	0.454	0.399	0.406	0.411	0.399	0.435	0.533	0.349	0.383	0.38
3.75X F	0.734	0.436	0.471	0.467	0.427	0.394	0.397	0.433	0.452	0.316	0.333	0.377	0.39	0.41	0.457	0.421	0.485
4X F	0.616	0.494	0.507	0.462	0.389	0.355	0.366	0.401	0.407	0.45	0.462	0.38	0.401	0.394	0.37	0.405	0.37
