	0X L 	0.25X L 	0.5X L 	0.75X L	1X L	1.25X L	1.5X L	1.75X L	2X L	2.25X L	2.5X L	2.75X L	3X L	3.25X L	3.5X L	3.75X L	4X L
0X F	610	973	959	884	787	705	721	1012	838	460	523	675	1076	900	699	716	664
0.25X F	4249	3804	3163	3569	2540	3027	4010	5149	2974	3015	3196	3276	3447	3564	3150	2725	2734
0.5X F	7121	6064	7549	4745	4916	4867	6484	6343	6616	6405	4141	3552	3981	3370	6091	3761	4111
0.75X F	7259	7029	8289	7735	9174	5993	6123	5997	8335	9887	5726	5241	4976	5628	10077	10874	5385
1X F	7971	8848	8716	9152	14020	7037	6918	9177	4310	6878	5847	11137	5392	5251	4873	4224	8686
1.25X F	7978	8093	7705	8148	6742	10164	5742	5748	5971	5457	5986	-102	3697	3746	3928	10777	3410
1.5X F	8252	8236	6610	6693	5437	18636	15351	4125	13063	11466	6689	9305	11417	3564	10504	3281	3389
1.75X F	7391	18756	7202	9994	7148	6045	4775	4799	3728	3451	3832	9563	3767	14685	3717	3678	3469
2X F	9414	9262	5791	11868	5543	5259	4561	3979	13097	10950	3920	4216	3746	3072	3281	9626	2777
2.25X F	7873	6711	8201	11351	5664	8823	4825	4441	3862	3890	3450	3420	3502	3538	3780	11240	2308
2.5X F	8816	6795	6645	7063	8034	4693	4377	4395	3707	3725	14166	4064	4377	4192	3298	3264	3209
2.75X F	7254	6005	6824	5436	7530	8719	1809	2018	2346	2379	2141	6606	1912	4466	3708	1514	4018
3X F	9695	3540	3254	2392	5707	3367	6018	4960	5366	1875	8428	2385	5264	1916	1580	1431	868
3.25X F	4822	4513	4163	2566	4088	3308	2916	5992	2846	3484	1847	3425	4058	2927	1194	881	2604
3.5X F	2243	3818	7139	4855	3014	2405	2353	4133	1512	1324	1107	1403	1165	3724	6033	1696	1375
3.75X F	2167	2426	1999	1412	1676	1396	1719	1789	2846	6131	2639	1293	1573	1212	971	1139	3478
4X F	2936	2664	3791	3653	6195	3274	2380	1901	1860	1724	3088	1698	1448	2280	2827	5739	4304}
