	0X L 	0.25X L 	0.5X L 	0.75X L	1X L	1.25X L	1.5X L	1.75X L	2X L	2.25X L	2.5X L	2.75X L	3X L	3.25X L	3.5X L	3.75X L	4X L
0X F	17	-1	0	-1	-1	6	-11	-12	1	7	9	0	8	2	-5	-5	2
0.25X F	234	212	1	-5	3	0	8	-5	2	5	-3	1	-2	4	19	0	7
0.5X F	273	53	-17	-4	1	-8	1	-12	-1	3	3	-1	-3	-5	0	-1	-4
0.75X F	130	70	10	11	0	-4	9	-1	-2	-9	-4	-2	-5	4	4	-7	-5
1X F	225	10	10	-4	-1	4	-6	11	-13	-6	2	-5	-1	6	1	-2	7
1.25X F	271	31	-1	-7	10	7	-13	-3	-3	-13	4	3	-2	-6	-11	-9	-4
1.5X F	56	-1	-12	5	3	-19	5	-2	-6	-7	2	5	-10	-17	-5	-6	-5
1.75X F	8	18	-8	-7	2	-17	2	1	-12	-15	6	-2	1	22	-3	4	-4
2X F	10	0	8	-4	-18	9	1	-8	4	-3	-14	-1	7	-9	5	8	-8
2.25X F	16	8	8	-1	-1	-12	8	-4	-13	9	5	-5	-7	0	-3	-11	-4
2.5X F	4	5	2	9	-7	-1	-1	-4	-13	4	-10	-6	-8	15	-7	-6	-1
2.75X F	0	3	1	1	1	0	5	0	-18	11	-12	4	1	-14	-10	-4	-7
3X F	11	-11	-10	-9	-6	-7	8	1	2	-13	-6	-12	-3	-13	-6	4	-19
3.25X F	3	-6	-6	-3	-9	-8	2	-9	-4	-11	-2	-1	-16	-2	2	-6	-12
3.5X F	23	-1	-15	-5	-3	4	-16	0	-11	-10	-12	-10	-9	3	6	-9	-6
3.75X F	6	0	-12	-8	-5	3	0	-13	0	-1	-7	-13	-7	-3	-12	-4	-3
4X F	18	-3	-2	3	-7	1	-2	-12	3	5	-6	4	0	-12	4	1	-4
