	0X L 	0.25X L 	0.5X L 	0.75X L	1X L	1.25X L	1.5X L	1.75X L	2X L	2.25X L	2.5X L	2.75X L	3X L	3.25X L	3.5X L	3.75X L	4X L
0X F	26	1587	-6	3	19	23	-6	7	18	11	24	5	47	0	1	3	36
0.25X F	6348	21406	12	-3	-3	10	7	0	2	15	9	12	12	6	17	9	11
0.5X F	7263	8461	4	2	16	-7	10	-6	-2	10	13	15	-5	5	14	28	14
0.75X F	6062	12634	17	12	-2	5	4	9	10	9	5	17	10	6	17	9	-5
1X F	9045	7132	21	14	19	1	4	9	-6	-3	14	4	8	18	7	3	35
1.25X F	7406	8329	61	-3	21	10	1	3	1	9	10	-3	2	2	-4	-8	-9
1.5X F	10308	1905	0	6	0	-17	4	0	-8	0	-2	4	-1	-8	-9	-1	4
1.75X F	7721	17789	-8	-1	8	-6	6	11	-6	-14	0	-2	-8	12	-3	2	4
2X F	5305	6998	10	-7	-15	-1	2	-9	0	-9	-10	-12	-2	-1	8	18	-7
2.25X F	3705	527	1	-8	13	-6	1	-3	2	14	3	-17	-10	2	3	-4	2
2.5X F	9570	1371	1	8	-4	-1	1	6	0	6	-10	-8	-3	18	-8	-14	4
2.75X F	6125	3768	-15	8	10	4	-9	-6	-22	9	-21	-8	-18	-25	-22	-3	-9
3X F	8602	733	-13	-26	-10	-19	-3	1	-5	-16	-11	-10	-2	-16	-21	-1	-22
3.25X F	3834	470	-13	-11	-9	-20	-21	-3	-19	-13	-15	-19	-21	-9	-16	-14	-15
3.5X F	2707	1066	-18	-10	-14	-9	-15	-18	-12	-21	-29	-24	-18	-3	-4	-14	-16
3.75X F	1905	583	-14	-15	-12	-6	-20	-20	-4	-10	-16	-22	-14	-7	-15	-13	-11
4X F	3727	112	-12	-11	4	-6	-8	-20	-9	-6	-9	-2	-8	-12	-6	-13	-6
