	0X	0.25X	0.5X	0.75X	1X	1.25X	1.5X	1.75X	2X	2.25X	2.5X	2.75X	3X
0X	60.12248203	66.3635907	72.4324867	64.22247787	61.63424514	37.28364182	43.82506005	29.31879564	29.65186074	31.16746699	31.04017611	31.58263305	32.97291886
0.25X	66.03915286	78.04539138	86.84355444	76.96193668	61.68935148	59.44836562	77.93904209	68.55556667	73.00015008	58.07	58.27	54.31543154	49.91737193
0.5X	76.15665483	75.71614583	71.64358218	80.4954955	65.57573938	55.39823894	64.08383773	61.5980799	64.32643264	61.33420013	64.635	78.62041348	52.27613807
0.75X	78.93999299	76.37318659	87.21488595	80.23709484	67.33203262	54.96446802	66.19654914	66.34495174	61.70425564	60.92109211	61.495	63.47817391	52.06425462
1X	76.10327229	78.71232602	76.06705029	73.25662831	70.68034017	56.9441665	70.91191036	65.63656366	65.6064016	62.8920122	65.23826191	67.64676468	62.3398719
1.25X	82.41565722	78.17708594	78.59359359	80.1395874	65.97618333	61.87665683	76.26906727	72.415	67.47186797	68.78251301	64.75032523	51.44187444	52.67294023
1.5X	81.14179926	78.22907798	75.62196526	73.07730773	66.30141099	58.45376807	66.36641145	67.817645	66.14137776	69.23692369	68.77875575	52.06925887	54.52452452
1.75X	79.36977105	75.34301452	80.65259887	79.8378216	61.11444578	47.64882441	73.18623036	69.48490764	70.15104531	72.54901961	68.13153812	53.26957741	55.27685992
2X	81.26314735	81.2707016	79.34347478	71.18991647	74.8974282	44.91470309	74.04980996	69.44903168	67.62247911	70.28662898	69.83991996	51.09342942	49.49206826
2.25X	83.0918843	77.73704299	83.79054866	73.31332833	65.99129521	47.04646626	70.43634908	68.88365804	71.1506726	74.19725918	72.5106383	48.51168142	50.30770001
2.5X	82.38804473	85.3386095	81.45274329	82.96482713	56.6237926	51.37095967	71.58010607	74.20452271	67.50112652	68.23334671	70.20169161	49.88991193	47.29256331
2.75X	78.08864822	79.67129328	84.65388658	75.66269881	61.87212327	72.34649452	73.40111183	74.10928743	71.5922165	70.68214804	73.62313041	54.71386372	51.38353765
3X	76.39577387	83.5186855	87.94294294	73.17561146	57.58030621	72.42346811	72.74864919	68.65768788	68.00660793	72.0718467	72.56539789	49.87744485	45.17017017
