	0X	0.25X	0.5X	0.75X	1X	1.25X	1.5X	1.75X	2X	2.25X	2.5X	2.75X	3X
0X	19758	33178.33333	39844	33321.66667	33328.33333	33316.66667	39968	39988	33320	39984	39974	33320	39954
0.25X	19973	38862	33291.66667	24991.25	39968	39954	39962	33323.33333	39978	40000	40000	39996	39938
0.5X	39986	39936	39998	33300	33305	39976	39982	39998	39996	39994	33333.33333	39954	39980
0.75X	39962	39980	24990	28560	33315	39964	39990	39994	39994	39996	40000	39998	39966
1X	39972	39948	39970	33316.66667	33316.66667	33313.33333	39982	39996	39990	39986	39998	39996	39968
1.25X	39956	39958	39960	32476.66667	33310	33321.66667	39990	40000	39990	33320	39972	33290	39956
1.5X	39972	39934	39954	33330	33310	33328.33333	39966	39966	39978	39996	39992	39966	39960
1.75X	39922	33283.33333	33251.66667	28540	22213.33333	33316.66667	39972	39954	39988	33320	39958	39944	33290
2X	39932	39852	39968	33321.66667	28551.42857	33315	33326.66667	39966	39966	39982	39980	39966	28547.14286
2.25X	39898	39824	33293.33333	33325	33315	33321.66667	39968	39934	39994	24992.5	33291.66667	33315	33311.66667
2.5X	33235	33273.33333	33293.33333	27815	33301.66667	28551.42857	39972	39976	39946	39872	39962	33306.66667	28545.71429
2.75X	39888	39914	33298.33333	19994	33313.33333	39966	39934	28548.57143	39982	39962	39982	39946	33308.33333
3X	39942	33270	22200	33321.66667	33310	39918	39976	39946	39952	39974	39986	33318.33333	33300
