	0X	0.25X	0.5X	0.75X	1X	1.25X	1.5X	1.75X	2X	2.25X	2.5X	2.75X	3X
0X	1	0.6	0.5	0.6	0.6	0.6	0.5	0.5	0.6	0.5	0.5	0.6	0.5
0.25X	1	0.5	0.6	0.8	0.5	0.5	0.5	0.6	0.5	0.5	0.5	0.5	0.5
0.5X	0.5	0.5	0.5	0.6	0.6	0.5	0.5	0.5	0.5	0.5	0.6	0.5	0.5
0.75X	0.5	0.5	0.8	0.7	0.6	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5
1X	0.5	0.5	0.5	0.6	0.6	0.6	0.5	0.5	0.5	0.5	0.5	0.5	0.5
1.25X	0.5	0.5	0.5	0.6	0.6	0.6	0.5	0.5	0.5	0.6	0.5	0.6	0.5
1.5X	0.5	0.5	0.5	0.6	0.6	0.6	0.5	0.5	0.5	0.5	0.5	0.5	0.5
1.75X	0.5	0.6	0.6	0.7	0.9	0.6	0.5	0.5	0.5	0.6	0.5	0.5	0.6
2X	0.5	0.5	0.5	0.6	0.7	0.6	0.6	0.5	0.5	0.5	0.5	0.5	0.7
2.25X	0.5	0.5	0.6	0.6	0.6	0.6	0.5	0.5	0.5	0.8	0.6	0.6	0.6
2.5X	0.6	0.6	0.6	0.6	0.6	0.7	0.5	0.5	0.5	0.5	0.5	0.6	0.7
2.75X	0.5	0.5	0.6	1	0.6	0.5	0.5	0.7	0.5	0.5	0.5	0.5	0.6
3X	0.5	0.6	0.9	0.6	0.6	0.5	0.5	0.5	0.5	0.5	0.5	0.6	0.6
