	0x	0.25x	0.5x	0.75x	1x	1.25x	1.5x	1.75x	2x	2.25x	2.5x	2.75x	3x	3.25x	3.5x	3.75x	4x
0x	0.251	0.201	0.22	0.303	0.268	0.318	0.369	0.276	0.324	0.273	0.307	0.334	0.329	0.322	0.297	0.309	0.292
0.25x	0.129	0.172	0.195	0.198	0.195	0.215	0.221	0.271	0.175	0.181	0.201	0.167	0.197	0.246	0.193	0.17	0.192
0.5x	0.129	0.166	0.187	0.126	0.12	0.105	0.115	0.146	0.149	0.145	0.147	0.083	0.093	0.089	0.154	0.099	0.094
0.75x	0.153	0.138	0.182	0.139	0.14	0.111	0.151	0.122	0.118	0.149	0.119	0.102	0.111	0.105	0.103	0.129	0.109
1x	0.116	0.177	0.188	0.159	0.165	0.138	0.14	0.17	0.147	0.176	0.183	0.156	0.187	0.14	0.139	0.159	0.375
1.25x	0.156	0.205	0.228	0.206	0.229	0.223	0.206	0.157	0.177	0.19	0.208	0.343	0.292	0.279	0.257	0.276	0.233
1.5x	0.245	0.245	0.303	0.275	0.303	0.309	0.256	0.292	0.278	0.305	0.281	0.276	0.257	0.278	0.209	0.281	0.322
1.75x	0.276	0.298	0.32	0.301	0.299	0.292	0.26	0.25	0.271	0.252	0.28	0.281	0.239	0.279	0.293	0.275	0.254
2x	0.326	0.293	0.312	0.298	0.245	0.265	0.3	0.25	0.281	0.306	0.294	0.298	0.249	0.197	0.282	0.216	0.247
2.25x	0.304	0.311	0.281	0.31	0.324	0.282	0.286	0.256	0.25	0.263	0.279	0.266	0.221	0.286	0.242	0.267	0.264
2.5x	0.312	0.262	0.265	0.252	0.262	0.258	0.25	0.27	0.293	0.284	0.297	0.262	0.267	0.239	0.237	0.241	0.238
2.75x	0.298	0.262	0.272	0.296	0.399	0.308	0.311	0.249	0.32	0.328	0.34	0.274	0.308	0.39	0.333	0.315	0.325
3x	0.377	0.356	0.337	0.314	0.343	0.304	0.317	0.289	0.34	0.352	0.348	0.319	0.303	0.278	0.299	0.278	0.313
3.25x	0.342	0.352	0.31	0.341	0.345	0.316	0.237	0.298	0.26	0.258	0.275	0.312	0.297	0.302	0.276	0.251	0.292
3.5x	0.258	0.346	0.31	0.295	0.276	0.268	0.267	0.292	0.325	0.294	0.289	0.286	0.278	0.279	0.297	0.248	0.208
3.75x	0.306	0.297	0.294	0.298	0.31	0.291	0.283	0.287	0.275	0.307	0.261	0.26	0.265	0.273	0.303	0.275	0.275
4x	0.307	0.303	0.304	0.316	0.322	0.254	0.283	0.292	0.288	0.348	0.275	0.292	0.295	0.292	0.302	0.329	0.178
