	0x	0.25x	0.5x	0.75x	1x	1.25x	1.5x	1.75x	2x	2.25x	2.5x	2.75x	3x	3.25x	3.5x	3.75x	4x
0x	0.061	0.137	0.242	0.401	0.4	0.361	0.311	0.174	0.246	0.126	0.228	0.249	0.184	0.155	0.104	0.098	0.082
0.25x	0.081	0.14	0.283	0.339	0.391	0.404	0.42	0.356	0.345	0.29	0.316	0.272	0.374	0.322	0.206	0.209	0.175
0.5x	0.121	0.222	0.246	0.305	0.412	0.357	0.381	0.337	0.446	0.377	0.289	0.263	0.252	0.32	0.392	0.273	0.256
0.75x	0.167	0.158	0.234	0.291	0.394	0.35	0.328	0.318	0.321	0.431	0.355	0.333	0.324	0.286	0.271	0.264	0.239
1x	0.156	0.154	0.242	0.371	0.413	0.339	0.334	0.354	0.32	0.326	0.305	0.28	0.262	0.274	0.259	0.296	0.356
1.25x	0.191	0.141	0.225	0.333	0.325	0.388	0.41	0.306	0.299	0.34	0.479	0.433	0.377	0.336	0.35	0.335	0.341
1.5x	0.208	0.152	0.257	0.324	0.375	0.329	0.383	0.335	0.315	0.371	0.374	0.293	0.367	0.345	0.379	0.292	0.381
1.75x	0.237	0.188	0.244	0.301	0.407	0.309	0.362	0.36	0.356	0.307	0.285	0.306	0.335	0.388	0.314	0.319	0.288
2x	0.199	0.152	0.228	0.297	0.311	0.328	0.375	0.322	0.394	0.322	0.349	0.309	0.297	0.338	0.305	0.294	0.296
2.25x	0.187	0.153	0.233	0.45	0.327	0.322	0.324	0.35	0.379	0.314	0.309	0.314	0.379	0.316	0.326	0.385	0.308
2.5x	0.155	0.151	0.248	0.304	0.318	0.344	0.358	0.437	0.383	0.321	0.405	0.328	0.411	0.334	0.371	0.346	0.383
2.75x	0.196	0.149	0.23	0.276	0.373	0.323	0.333	0.342	0.363	0.331	0.372	0.387	0.315	0.376	0.373	0.405	0.32
3x	0.169	0.168	0.218	0.308	0.355	0.311	0.363	0.36	0.384	0.309	0.408	0.488	0.313	0.307	0.362	0.291	0.344
3.25x	0.209	0.178	0.229	0.295	0.315	0.353	0.43	0.322	0.365	0.305	0.296	0.354	0.363	0.35	0.339	0.357	0.34
3.5x	0.174	0.19	0.246	0.283	0.349	0.318	0.309	0.357	0.302	0.362	0.301	0.375	0.352	0.387	0.325	0.309	0.284
3.75x	0.162	0.168	0.212	0.298	0.306	0.312	0.358	0.326	0.371	0.343	0.318	0.328	0.312	0.306	0.362	0.297	0.369
4x	0.202	0.149	0.219	0.344	0.38	0.318	0.374	0.324	0.325	0.325	0.372	0.311	0.38	0.318	0.316	0.485	0.314
