	0x	0.25x	0.5x	0.75x	1x	1.25x	1.5x	1.75x	2x	2.25x	2.5x	2.75x	3x	3.25x	3.5x	3.75x	4x
0x	0.062	0.171	0.409	0.337	0.279	0.591	0.303	0.219	0.083	0.402	0.361	0.336	0.514	0.362	0.264	0.204	0.571
0.25x	0.023	0.02	0.028	0.025	0.04	0.038	0.02	0.041	0.044	0.017	0.023	0.024	0.068	0.038	0.025	0.024	0.078
0.5x	0.109	0.111	0.099	0.085	0.066	0.047	0.053	0.05	0.096	0.111	0.082	0.091	0.087	0.11	0.087	0.078	0.055
0.75x	0.094	0.102	0.091	0.149	0.112	0.121	0.115	0.128	0.133	0.162	0.154	0.088	0.121	0.098	0.101	0.096	0.163
1x	0.122	0.213	0.221	0.222	0.333	0.266	0.233	0.214	0.13	0.202	0.226	0.189	0.233	0.23	0.232	0.23	0.056
1.25x	0.278	0.256	0.248	0.281	0.289	0.27	0.227	0.233	0.263	0.27	0.263	0.175	0.283	0.27	0.266	0.29	0.213
1.5x	0.297	0.253	0.347	0.335	0.326	0.314	0.36	0.252	0.322	0.32	0.28	0.308	0.32	0.306	0.295	0.284	0.295
1.75x	0.306	0.37	0.356	0.351	0.341	0.322	0.315	0.354	0.3	0.285	0.292	0.287	0.26	0.344	0.313	0.304	0.297
2x	0.331	0.362	0.232	0.32	0.349	0.289	0.294	0.273	0.334	0.323	0.315	0.297	0.305	0.335	0.284	0.28	0.283
2.25x	0.307	0.316	0.299	0.401	0.354	0.295	0.328	0.277	0.298	0.307	0.31	0.28	0.306	0.29	0.29	0.289	0.3
2.5x	0.315	0.293	0.292	0.316	0.298	0.284	0.285	0.295	0.267	0.172	0.517	0.261	0.28	0.281	0.276	0.288	0.277
2.75x	0.308	0.306	0.34	0.19	0.549	0.352	0.335	0.341	0.356	0.333	0.356	0.38	0.383	0.383	0.319	0.385	0.423
3x	0.295	0.335	0.357	0.35	0.343	0.349	0.356	0.327	0.363	0.389	0.357	0.385	0.304	0.276	0.281	0.297	0.303
3.25x	0.346	0.36	0.356	0.361	0.384	0.339	0.353	0.312	0.284	0.278	0.291	0.319	0.286	0.332	0.303	0.301	0.301
3.5x	0.344	0.366	0.325	0.308	0.292	0.281	0.293	0.307	0.309	0.313	0.317	0.304	0.311	0.319	0.311	0.285	0.275
3.75x	0.336	0.327	0.323	0.325	0.327	0.317	0.302	0.298	0.35	0.317	0.307	0.267	0.26	0.272	0.281	0.288	0.28
4x	0.319	0.339	0.327	0.37	0.387	0.281	0.296	0.272	0.305	0.276	0.282	0.295	0.276	0.307	0.298	0.358	0.356
