	0X L	0.25X L	0.5X L	0.75X L	1X L	1.25X L	1.5X L	1.75X L	2X L	2.25X L	2.5X L	2.75X L	3X L	3.25X L	3.5X L	3.75X L	4X L
0X Y 	4690	5438	5091	7674	4983	5132	5600	3835	5854	3537	3470	3436	5036	4728	3068	3121	3193
0.25X Y 	2944	3365	3540	3280	2976	3189	3284	6092	3087	2675	3118	2642	2778	3862	2451	2228	2393
0.5X Y 	2584	3088	4908	2782	3116	2765	2810	4138	3661	3875	3604	2183	2192	1732	3221	2340	2259
0.75X Y	2378	1985	3312	2430	3261	2037	2563	2295	2357	3572	2601	2083	2394	2158	2023	2439	1965
1X Y	2062	2244	2367	2637	3158	2374	2935	2488	2299	2444	1902	2424	2019	1936	2093	2075	2098
1.25X Y	1650	2439	2672	2367	2040	2525	2118	1970	2000	2092	2845	2305	1559	1603	1585	1365	1507
1.5X Y	1607	1929	2218	1501	1478	1336	2160	1760	1850	1656	1564	1626	1586	1879	1488	1615	1739
1.75X Y	1082	2126	1895	1868	1820	1863	1649	1676	1890	1846	2139	1501	1411	1803	1767	2275	1826
2X Y	1587	2039	2304	1955	1946	1742	1682	1577	2001	1828	2002	2017	1813	2088	901	1819	1862
2.25X Y	1602	1778	1781	2099	2210	2022	1942	1886	1770	1827	1931	1937	2066	1948	1909	1836	1769
2.5X Y	1680	2083	1846	1821	1956	2357	2093	1996	1939	2247	2129	1945	1908	2006	1954	2016	1881
2.75X Y	1312	2280	2114	2278	2615	2531	2070	1892	1992	2091	2008	2140	2074	2527	2128	2058	1828
3X Y	1974	2281	2100	2221	2501	2285	2296	2348	2289	2356	2441	1981	2052	2086	2031	2109	1980
3.25X Y	1809	2720	2339	2329	2343	2401	2390	2461	1809	2111	2383	2375	2801	2423	2661	2118	2033
3.5X Y	1770	2217	2708	2271	2126	2522	2451	2669	2485	2561	2076	2106	2192	1984	2241	2203	1821
3.75X Y	1691	2486	2292	2436	2555	2207	2420	2248	2099	2439	2048	2404	2220	-4	6	2050	2191
4X Y	1780	2140	2386	2085	2608	2015	2247	2621	-11	-5	2102	2078	2127	2047	1865	2201	1564
