	0X L	0.25X L	0.5X L	0.75X L	1X L	1.25X L	1.5X L	1.75X L	2X L	2.25X L	2.5X L	2.75X L	3X L	3.25X L	3.5X L	3.75X L	4X L
0X Y 	0.048	0.199	0.243	0.204	0.143	0.08	0.07	0.093	0.071	0.081	0.068	0.047	0.035	0.059	0.066	0.071	0.069
0.25X Y 	0.095	0.224	0.302	0.299	0.249	0.19	0.163	0.168	0.162	0.142	0.156	0.148	0.141	0.152	0.116	0.105	0.103
0.5X Y 	0.072	0.202	0.198	0.243	0.29	0.296	0.267	0.217	0.262	0.192	0.165	0.159	0.132	0.093	0.091	0.076	0.068
0.75X Y	0.07	0.236	0.278	0.312	0.341	0.259	0.28	0.2	0.176	0.148	0.122	0.147	0.129	0.114	0.12	0.084	0.088
1X Y	0.054	0.159	0.246	0.209	0.215	0.168	0.181	0.153	0.149	0.128	0.126	0.085	0.089	0.093	0.052	0.036	0.059
1.25X Y	0.032	0.132	0.217	0.241	0.14	0.104	0.122	0.116	0.101	0.091	0.061	0.471	0.376	0.361	0.369	0.314	0.433
1.5X Y	0.046	0.226	0.202	0.348	0.479	0.453	0.382	0.404	0.407	0.415	0.352	0.352	0.398	0.333	0.326	0.35	0.385
1.75X Y	0.029	0.139	0.292	0.416	0.477	0.403	0.403	0.311	0.346	0.319	0.349	0.361	0.348	0.417	0.379	0.403	0.364
2X Y	0.023	0.164	0.181	0.376	0.413	0.341	0.347	0.326	0.378	0.381	0.394	0.367	0.347	0.397	0.349	0.342	0.314
2.25X Y	0.021	0.139	0.215	0.356	0.443	0.387	0.404	0.373	0.338	0.343	0.358	0.324	0.323	0.33	0.344	0.403	0.383
2.5X Y	0.091	0.212	0.26	0.472	0.423	0.377	0.321	0.312	0.337	0.311	0.358	0.413	0.457	0.471	0.416	0.423	0.335
2.75X Y	0.016	0.118	0.175	0.326	0.421	0.52	0.348	0.319	0.357	0.305	0.344	0.337	0.295	0.324	0.246	0.239	0.267
3X Y	0.011	0.139	0.149	0.239	0.35	0.327	0.336	0.353	0.305	0.311	0.357	0.276	0.341	0.314	0.304	0.311	0.274
3.25X Y	0.051	0.169	0.248	0.274	0.248	0.359	0.305	0.354	0.369	0.319	0.312	0.325	0.333	0.315	0.292	0.245	0.253
3.5X Y	0.031	0.151	0.037	0.095	0.444	0.472	0.481	0.452	0.336	0.501	0.419	0.415	0.453	0.288	0.334	0.252	0.276
3.75X Y	0.016	0.149	0.222	0.232	0.328	0.344	0.31	0.331	0.334	0.33	0.302	0.315	0.293	0.294	0.267	0.277	0.298
4X Y	0.031	0.151	0.251	0.226	0.365	0.326	0.341	0.35	0.361	0.381	0.32	0.33	0.336	0.352	0.41	0.436	0.333
