	0X L	0.25X L	0.5X L	0.75X L	1X L	1.25X L	1.5X L	1.75X L	2X L	2.25X L	2.5X L	2.75X L	3X L	3.25X L	3.5X L	3.75X L	4X L
0X Y 	0.102	0.102	0.106	0.117	0.097	0.095	0.086	0.109	0.096	0.093	0.087	0.099	0.099	0.099	0.1	0.115	0.11
0.25X Y 	0.127	0.133	0.113	0.113	0.126	0.125	0.116	0.121	0.115	0.111	0.125	0.123	0.115	0.114	0.125	0.112	0.111
0.5X Y 	0.196	0.157	0.183	0.15	0.135	0.15	0.165	0.161	0.15	0.133	0.152	0.142	0.156	0.137	0.038	0.146	0.135
0.75X Y	0.189	0.181	0.205	0.144	0.192	0.188	0.198	0.2	0.188	0.179	0.169	0.166	0.175	0.171	0.192	0.252	0.203
1X Y	0.19	0.232	0.22	0.202	0.215	0.209	0.205	0.208	0.209	0.189	0.24	0.246	0.216	0.227	0.237	0.224	0.188
1.25X Y	0.249	0.25	0.239	0.218	0.206	0.232	0.243	0.221	0.235	0.238	0.232	0.201	0.202	0.216	0.226	0.236	0.209
1.5X Y	0.248	0.207	0.283	0.297	0.305	0.274	0.213	0.235	0.234	0.276	0.232	0.241	0.26	0.272	0.296	0.255	0.321
1.75X Y	0.321	0.322	0.333	0.355	0.329	0.326	0.28	0.304	0.297	0.308	0.28	0.306	0.287	0.265	0.264	0.258	0.264
2X Y	0.392	0.347	0.371	0.387	0.365	0.325	0.344	0.313	0.293	0.295	0.338	0.355	0.321	0.337	0.302	0.306	0.311
2.25X Y	0.423	0.366	0.35	0.321	0.34	0.32	0.328	0.352	0.325	0.309	0.324	0.329	0.338	0.315	0.278	0.255	0.235
2.5X Y	0.335	0.364	0.374	0.385	0.314	0.35	0.337	0.322	0.338	0.328	0.242	0.242	0.289	0.24	0.249	0.243	0.298
2.75X Y	0.313	0.337	0.344	0.326	0.261	0.427	0.256	0.382	0.265	0.186	0.268	0.325	0.244	0.321	0.23	0.226	0.318
3X Y	0.354	0.275	0.334	0.238	0.245	0.24	0.189	0.224	0.219	0.206	0.226	0.21	0.263	0.203	0.247	0.219	0.198
3.25X Y	0.369	0.297	0.252	0.251	0.256	0.256	0.244	0.316	0.221	0.215	0.201	0.223	0.241	0.339	0.211	0.214	0.204
3.5X Y	0.321	0.28	0.247	0.242	0.262	0.196	0.258	0.208	0.258	0.218	0.231	0.204	0.202	0.231	0.244	0.19	0.182
3.75X Y	0.22	0.302	0.265	0.272	0.223	0.24	0.217	0.219	0.246	0.255	0.213	0.219	0.256	0.211	0.23	0.21	0.221
4X Y	0.248	0.255	0.271	0.316	0.367	0.23	0.192	0.22	0.255	0.198	0.245	0.206	0.218	0.231	0.217	0.239	0.161
