	0X L	0.25X L	0.5X L	0.75X L	1X L	1.25X L	1.5X L	1.75X L	2X L	2.25X L	2.5X L	2.75X L	3X L	3.25X L	3.5X L	3.75X L	4X L
0X Y 	1037	10198	12830	6522	4946	1921	1745	1047	1018	979	427	1428	1752	1567	1358	961	608
0.25X Y 	1595	6231	7625	8214	5119	4379	4635	6467	5391	4026	2852	2274	2182	2463	1120	1948	969
0.5X Y 	643	9908	14590	11960	12945	10148	6442	5499	4206	2520	3035	2034	1995	3168	3597	3662	2746
0.75X Y	2052	11190	10963	11307	10836	7343	7644	4508	6797	5982	5229	5832	4838	3982	4748	3205	2442
1X Y	2351	9485	11739	9701	8625	6746	7471	5914	5098	4400	3941	3656	3544	4007	3121	2810	2841
1.25X Y	2682	10836	12601	12231	8122	6604	6147	5067	4868	4549	4136	16690	15972	15332	15309	15028	14767
1.5X Y	2283	12435	17923	16301	18852	17221	16664	15524	10916	13702	15719	14540	15319	15262	14664	14022	14435
1.75X Y	2157	13025	9657	11358	10348	15729	14994	14585	14608	15759	15236	15663	16010	15877	10455	9301	11966
2X Y	1925	20932	14374	15359	16503	15364	15834	16384	18915	11868	11931	11981	14152	16475	14930	14775	13348
2.25X Y	1894	11958	15783	24787	15178	11114	11249	12816	14666	15386	14838	16128	15030	16162	16056	16123	12565
2.5X Y	316	7048	8608	10023	14410	16197	15881	16066	16645	17177	17375	9304	12003	8705	8353	9965	15710
2.75X Y	2036	13256	14731	17616	17862	15472	15902	14415	15164	14608	14213	13218	14674	12595	12174	11158	10841
3X Y	1263	8307	8794	14857	13778	15820	16142	11940	14765	14187	14892	14695	13722	9293	9399	8980	12034
3.25X Y	88	7632	11030	12643	15353	13757	15341	16797	11348	12690	15555	14857	14897	14013	13539	11034	10029
3.5X Y	501	9497	886	171	9014	7874	8362	13980	15969	9570	7470	8040	7520	10389	14188	12964	13039
3.75X Y	1162	11612	14829	17241	16985	15320	15563	13417	14091	16497	14622	14929	14104	13142	13314	10295	11352
4X Y	400	8127	15101	16875	17172	16374	13402	12197	15957	11704	15653	11109	14805	10732	11022	8291	7804
