	0X L	0.25X L	0.5X L	0.75X L	1X L	1.25X L	1.5X L	1.75X L	2X L	2.25X L	2.5X L	2.75X L	3X L	3.25X L	3.5X L	3.75X L	4X L
0X Y 	672	5785	5092	2261	1485	868	565	676	985	1160	812	695	802	372	510	565	624
0.25X Y 	599	5077	2949	4473	2043	1799	2214	2899	2181	1568	1594	1395	1353	1348	600	992	637
0.5X Y 	643	5750	9366	3530	4102	4434	3058	2550	2542	1339	1495	1201	1149	1516	2190	1023	735
0.75X Y	748	5878	6198	4179	4370	3376	4391	2405	2910	2774	1691	2375	1867	1467	1884	1241	1202
1X Y	832	5111	3895	3341	3633	2954	3001	2318	2048	1701	1798	1503	1482	1623	1232	1196	1222
1.25X Y	639	5314	4401	4574	2715	1636	2359	2066	1971	1755	1376	16171	8365	7582	7250	6842	11737
1.5X Y	1853	8433	13598	10667	26756	12035	20844	20342	8207	9264	18041	8314	8996	8068	7036	6871	6980
1.75X Y	1921	7750	7255	10460	10345	12045	10765	8589	9460	9861	9398	8981	8259	20519	5944	5791	6527
2X Y	1989	7980	8261	11223	12989	10698	11134	10277	23258	9175	8709	7947	13031	20499	8316	7163	6403
2.25X Y	1850	7321	9595	22730	12485	8925	10043	9865	9504	9517	9253	9031	8209	8152	7801	16452	7114
2.5X Y	1393	5485	6085	10006	11143	12054	9894	9541	9743	9256	19842	6209	17163	10732	5181	6694	7837
2.75X Y	1714	6941	8627	11458	13593	12737	6102	5379	5432	4911	4875	6979	4708	5329	4234	4122	4930
3X Y	112	4168	4451	6343	11618	7679	12240	7851	5105	4924	7325	4776	5783	3140	2952	3903	5413
3.25X Y	349	4477	6794	6000	11150	5382	5469	10135	6722	4796	5608	8350	8085	6645	6092	3186	3047
3.5X Y	226	4745	1012	1734	10950	4605	8569	15917	1573	9159	2933	3049	3878	19758	6247	3795	4366
3.75X Y	795	5963	9607	12545	9367	8267	6735	4961	6687	10284	5460	5683	4896	4450	6063	3349	5225
4X Y	395	4359	7766	7602	19660	7729	5797	4908	10190	4750	8928	3937	7861	4879	5276	9178	3535
