	0X L	0.25X L	0.5X L	0.75X L	1X L	1.25X L	1.5X L	1.75X L	2X L	2.25X L	2.5X L	2.75X L	3X L	3.25X L	3.5X L	3.75X L	4X L
0X Y 	0.036	0.218	0.251	0.353	0.361	0.288	0.253	0.292	0.179	0.159	0.112	0.109	0.109	0.071	0.079	0.072	0.074
0.25X Y 	0.088	0.245	0.27	0.307	0.312	0.31	0.3	0.337	0.244	0.257	0.227	0.229	0.264	0.183	0.178	0.168	0.147
0.5X Y 	0.179	0.234	0.228	0.235	0.208	0.25	0.28	0.28	0.293	0.234	0.29	0.217	0.21	0.19	0.223	0.132	0.164
0.75X Y	0.183	0.21	0.247	0.2	0.25	0.21	0.208	0.21	0.198	0.235	0.174	0.165	0.151	0.2	0.146	0.224	0.201
1X Y	0.154	0.218	0.207	0.202	0.218	0.189	0.171	0.177	0.185	0.198	0.161	0.188	0.181	0.184	0.167	0.153	0.201
1.25X Y	0.165	0.176	0.177	0.18	0.176	0.202	0.168	0.174	0.174	0.176	0.156	0.491	0.268	0.375	0.354	0.379	0.473
1.5X Y	0.21	0.246	0.25	0.278	0.279	0.295	0.308	0.317	0.248	0.276	0.342	0.271	0.297	0.3	0.285	0.268	0.333
1.75X Y	0.243	0.284	0.243	0.238	0.251	0.241	0.288	0.254	0.247	0.294	0.256	0.275	0.319	0.341	0.258	0.271	0.286
2X Y	0.26	0.301	0.304	0.269	0.242	0.256	0.27	0.278	0.319	0.231	0.248	0.268	0.243	0.292	0.261	0.282	0.236
2.25X Y	0.275	0.28	0.304	0.306	0.237	0.26	0.258	0.246	0.271	0.241	0.259	0.248	0.258	0.286	0.355	0.346	0.271
2.5X Y	0.257	0.282	0.261	0.26	0.257	0.259	0.25	0.259	0.281	0.283	0.422	0.303	0.263	0.272	0.306	0.294	0.37
2.75X Y	0.277	0.32	0.266	0.253	0.338	0.265	0.249	0.252	0.245	0.248	0.246	0.253	0.262	0.284	0.259	0.247	0.256
3X Y	0.225	0.232	0.237	0.246	0.251	0.252	0.24	0.237	0.251	0.183	0.245	0.156	0.215	0.199	0.199	0.224	0.187
3.25X Y	0.22	0.265	0.243	0.239	0.236	0.243	0.191	0.21	0.205	0.209	0.195	0.219	0.219	0.243	0.221	0.217	0.21
3.5X Y	0.231	0.153	0.233	0.223	0.218	0.194	0.21	0.219	0.203	0.229	0.209	0.183	0.207	0.213	0.206	0.189	0.192
3.75X Y	0.193	0.232	0.214	0.219	0.197	0.222	0.217	0.198	0.191	0.225	0.218	0.211	0.206	0.208	0.2	0.189	0.209
4X Y	0.223	0.233	0.24	0.194	0.237	0.211	0.208	0.211	0.205	0.207	0.203	0.197	0.19	0.207	0.196	0.254	0.261
