	0X L	0.25X L	0.5X L	0.75X L	1X L	1.25X L	1.5X L	1.75X L	2X L	2.25X L	2.5X L	2.75X L	3X L	3.25X L	3.5X L	3.75X L	4X L
0X Y 	6353	15987	15004	15329	13969	12767	9274	8305	5818	5076	3544	5044	5874	4327	4433	3662	3888
0.25X Y 	16285	25540	22824	19798	16945	15736	18926	22905	19740	19516	16798	17185	18131	13814	13087	11852	11896
0.5X Y 	26931	36092	40824	24994	25508	25353	30729	27088	26614	21318	23806	20015	18462	21121	27035	19643	24343
0.75X Y	40465	36046	40372	29209	36006	25372	25286	24207	27226	32291	24645	26233	27053	33850	26670	31397	32402
1X Y	34840	28249	26978	30080	44812	38643	27288	26689	27402	34615	26081	35708	34671	30834	25506	26168	35527
1.25X Y	31609	32857	30455	29563	29594	47863	29320	27191	27101	28075	27112	20934	17715	17626	13511	15888	17251
1.5X Y	25642	21694	22504	16822	17250	19103	29381	20602	18049	17466	21043	16828	17131	16897	15227	17527	15354
1.75X Y	38616	39249	20737	19677	19251	18201	24682	17735	17822	17730	16837	17982	15643	18014	16758	16835	15263
2X Y	26643	34592	32651	26601	18461	17769	19045	16789	24645	17498	17952	17802	18153	20018	16654	17560	17614
2.25X Y	27733	25127	33327	34167	19608	19875	18693	19115	19351	17454	17463	18672	17152	16954	14909	20772	17828
2.5X Y	26107	21938	19639	18520	16650	16556	19092	16804	17892	16644	19979	21054	14812	12723	15547	14589	14185
2.75X Y	21412	19316	18117	19407	22843	16908	16712	21542	21856	21439	31780	20477	19898	23859	18871	19999	21879
3X Y	30443	24591	23540	22667	28845	22319	21469	20132	19068	19154	22934	23101	20572	20570	20336	20125	19801
3.25X Y	30473	29902	21979	22482	21590	21331	29316	23458	21426	20907	21795	22301	25136	25869	23395	23530	17821
3.5X Y	22013	32184	25553	22624	22729	22170	22318	27388	20753	26407	19789	18585	18156	27832	20144	19471	19255
3.75X Y	23522	24111	24186	27096	22683	21032	19454	21320	30776	28390	19960	20405	20046	19920	19332	18848	23243
4X Y	23601	23950	22433	31020	28841	22077	21337	21097	22291	20517	26510	20836	21009	19734	19233	16077	14609
