	0X L	0.25X L	0.5X L	0.75X L	1X L	1.25X L	1.5X L	1.75X L	2X L	2.25X L	2.5X L	2.75X L	3X L	3.25X L	3.5X L	3.75X L	4X L
0X Y 	4373	4205	4366	4202	4173	4061	3511	3705	4110	3781	4094	4159	3899	3994	3918	2864	2449
0.25X Y 	12943	11564	9315	8263	7918	7914	12798	13946	13571	10441	9540	9154	11320	6672	6438	5604	5401
0.5X Y 	18460	31575	35176	24747	26254	21811	21153	18817	24369	13378	14274	11127	15301	23354	23472	21120	19109
0.75X Y	27695	34727	24010	25220	26961	19834	20443	26364	38764	39554	27385	27235	26901	25507	22729	21404	18790
1X Y	27125	23386	27647	30479	38896	29863	30487	28186	28294	27760	27880	37423	26961	27755	26161	37128	28635
1.25X Y	33562	44551	44786	30399	29216	28702	29715	28867	29432	29425	40552	17265	24821	23464	20059	18072	20068
1.5X Y	30785	44168	29522	30497	27811	30273	36687	29044	32478	34050	27432	27386	30377	25793	22958	24867	24533
1.75X Y	29521	46177	37818	33004	27644	26994	26848	28583	29565	25158	25657	21794	25694	27221	26660	26942	23780
2X Y	47955	40493	40229	25185	34748	24376	28526	26170	31953	27360	24301	24376	30602	25994	24635	27841	24811
2.25X Y	42272	27821	45240	38734	25143	35410	25527	23879	23699	24097	25452	25120	24184	26911	28176	25667	24803
2.5X Y	42064	26238	26507	24477	24956	25653	24599	23680	24069	26515	28550	24936	25750	29498	29106	25770	25510
2.75X Y	28305	29162	37336	25936	32859	23996	23539	22046	18573	18962	24551	23144	20710	23132	18814	24348	21746
3X Y	38850	21648	20372	20426	27881	19843	13296	22430	16372	15573	17063	25558	24322	21015	19758	20919	19701
3.25X Y	24086	24014	18509	17063	17512	18809	21381	28500	21552	20660	22073	23365	23031	22793	22522	20532	18301
3.5X Y	21173	25136	30458	22002	20759	20429	26137	24957	24092	23694	21409	21425	19093	26023	23931	20910	20513
3.75X Y	20603	20560	24741	25395	21278	21714	20744	20200	20214	26459	21554	20409	21200	20790	20396	20298	20708
4X Y	20780	20570	21682	19750	31277	22069	22584	26446	25883	22696	25638	21626	22519	22345	21754	20981	-381
