	0X L	0.25X L	0.5X L	0.75X L	1X L	1.25X L	1.5X L	1.75X L	2X L	2.25X L	2.5X L	2.75X L	3X L	3.25X L	3.5X L	3.75X L	4X L
0X Y 	-9	12	2588	3674	22229	6628	-14	-5	4973	-24	-13	32	-7	45	-1	-12	2337
0.25X Y 	6	3	17	3683	4203	2238	2525	3225	7084	1947	7	3724	14754	203	33	-11	914
0.5X Y 	-26	6	1	13	1	3	-10	-2	175	17	-12	45	3	175	9747	68	10
0.75X Y	3	8	5	-4	1	2	4	9	-1	14	5	5	-2	-7	-5	4	-10
1X Y	-5	0	-5	-6	-4	1	-13	-8	-11	-4	5	-3	-14	-4	8	-19	7
1.25X Y	-7	6	-2	-3	-2	3	-8	-4	-2	-4	7	-12	9	17	203	2084	7
1.5X Y	4	1	-10	2	-17	3	17	3	4	-6	-1	14	1	0	9	8	1
1.75X Y	2	1	-15	-4	-1	-2	1	11	7	-10	-2	-1	-10	37	-7	0	-3
2X Y	-11	-8	-5	1	-5	-11	-4	-7	11	0	-4	-5	1	-10	6	0	-2
2.25X Y	-12	-6	-6	-4	2	-6	0	-9	0	-7	5	2	-5	-1	-1	6	10
2.5X Y	-9	-15	1	-4	-9	-4	-8	-11	-2	2	10	8	-4	-11	-5	-5	-10
2.75X Y	1	-4	5	2	-1	5	-4	14	-4	-1	1	11	-13	6	-4	8	17
3X Y	2	-13	0	-3	4	-9	-3	-10	1	-2	-4	2	7	4	-5	-1	-8
3.25X Y	3	-1	4	-6	-4	-10	6	4	7	-12	-5	-4	-7	-6	-6	-17	-3
3.5X Y	-5	13	-7	-8	-6	-2	-1	1	-1	-13	-12	-5	-2	14	5	-1	5
3.75X Y	-1	-11	-4	4	4	-10	3	1	0	-4	10	14	-2	-9	-17	-5	12
4X Y	-1	0	-2	9	-1	-1	2	-3	2	9	5	3	2	0	6	12	4
